Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC,01/01/2016,Forest Green,Torquay,3,1,H
EC,01/03/2016,Bromley,Welling United,2,0,H
EC,01/03/2016,Dover,Southport,1,2,A
EC,01/03/2016,Eastleigh,Cheltenham,1,0,H
EC,01/03/2016,Macclesfield,Torquay,1,2,A
EC,01/03/2016,Braintree,Kidderminster,2,1,H
EC,01/04/2016,Cheltenham,Grimsby,3,1,H
EC,02/01/2016,Grimsby,Guiseley AFC,1,1,D
EC,02/01/2016,Tranmere,Macclesfield,0,1,A
EC,02/01/2016,Chester,Altrincham,1,1,D
EC,02/01/2016,Gateshead,Barrow,1,1,D
EC,02/01/2016,FC Halifax Town,Lincoln,2,2,D
EC,02/01/2016,Woking,Aldershot,2,1,H
EC,02/01/2016,Southport,Wrexham,3,2,H
EC,02/02/2016,Braintree,Welling United,1,0,H
EC,02/02/2016,Barrow,Gateshead,0,0,D
EC,02/04/2016,Forest Green,Wrexham,0,0,D
EC,02/04/2016,Tranmere,Welling United,1,2,A
EC,02/04/2016,Eastleigh,Guiseley AFC,1,1,D
EC,02/04/2016,Gateshead,Torquay,1,2,A
EC,02/04/2016,Southport,Woking,2,2,D
EC,02/04/2016,Dover,FC Halifax Town,1,0,H
EC,02/04/2016,Bromley,Lincoln,2,0,H
EC,02/04/2016,Kidderminster,Altrincham,1,1,D
EC,02/04/2016,Chester,Boreham Wood,2,2,D
EC,02/04/2016,Macclesfield,Braintree,3,1,H
EC,02/04/2016,Aldershot,Barrow,0,1,A
EC,02/10/2015,Guiseley AFC,Lincoln,0,1,A
EC,03/10/2015,Altrincham,Barrow,1,0,H
EC,03/10/2015,FC Halifax Town,Cheltenham,1,7,A
EC,03/10/2015,Woking,Southport,1,2,A
EC,03/10/2015,Torquay,Aldershot,0,2,A
EC,03/10/2015,Gateshead,Dover,2,3,A
EC,03/10/2015,Eastleigh,Braintree,0,2,A
EC,03/10/2015,Chester,Wrexham,3,2,H
EC,03/10/2015,Kidderminster,Welling United,0,1,A
EC,03/10/2015,Grimsby,Forest Green,1,1,D
EC,03/10/2015,Macclesfield,Boreham Wood,0,0,D
EC,03/10/2015,Tranmere,Bromley,4,0,H
EC,04/03/2016,Forest Green,Grimsby,0,1,A
EC,05/03/2016,Welling United,Cheltenham,1,1,D
EC,05/03/2016,Altrincham,Macclesfield,0,0,D
EC,05/03/2016,Woking,Dover,0,1,A
EC,05/03/2016,Braintree,Eastleigh,2,0,H
EC,05/03/2016,Boreham Wood,Barrow,0,2,A
EC,05/03/2016,Torquay,Kidderminster,3,2,H
EC,05/03/2016,Lincoln,Aldershot,2,0,H
EC,05/03/2016,Southport,FC Halifax Town,0,1,A
EC,05/03/2016,Chester,Bromley,1,1,D
EC,05/03/2016,Tranmere,Gateshead,3,1,H
EC,05/04/2016,Aldershot,Grimsby,3,4,A
EC,05/04/2016,Altrincham,Dover,1,2,A
EC,05/04/2016,FC Halifax Town,Boreham Wood,3,2,H
EC,05/04/2016,Torquay,Chester,2,0,H
EC,05/04/2016,Barrow,Braintree,2,0,H
EC,05/09/2015,Kidderminster,Braintree,0,1,A
EC,05/09/2015,Welling United,Tranmere,1,1,D
EC,05/09/2015,Lincoln,Wrexham,1,1,D
EC,05/09/2015,Macclesfield,Woking,2,1,H
EC,05/09/2015,Aldershot,FC Halifax Town,3,2,H
EC,05/09/2015,Barrow,Eastleigh,1,0,H
EC,05/09/2015,Southport,Dover,0,0,D
EC,05/09/2015,Torquay,Guiseley AFC,1,1,D
EC,05/09/2015,Boreham Wood,Grimsby,1,3,A
EC,05/09/2015,Bromley,Gateshead,3,0,H
EC,05/09/2015,Altrincham,Cheltenham,2,1,H
EC,05/09/2015,Chester,Forest Green,1,2,A
EC,05/12/2015,Southport,Macclesfield,3,1,H
EC,05/12/2015,Tranmere,Braintree,1,2,A
EC,05/12/2015,Kidderminster,Gateshead,0,1,A
EC,05/12/2015,FC Halifax Town,Guiseley AFC,1,1,D
EC,05/12/2015,Woking,Lincoln,3,1,H
EC,05/12/2015,Cheltenham,Chester,3,1,H
EC,05/12/2015,Torquay,Wrexham,0,1,A
EC,05/12/2015,Dover,Aldershot,5,2,H
EC,06/02/2016,Welling United,Altrincham,1,1,D
EC,06/02/2016,Wrexham,Forest Green,2,2,D
EC,06/02/2016,Boreham Wood,Kidderminster,0,2,A
EC,06/02/2016,Barrow,Cheltenham,1,2,A
