Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC3,06/08/2019,Fraserburgh,Ross County U21,2,3,A
SC3,06/08/2019,Albion Rovers,Hearts U21,1,4,A
SC3,06/08/2019,Berwick Rangers,Rangers U21,1,2,A
SC3,06/08/2019,Brora Rangers,Aberdeen U21,6,0,H
SC3,06/08/2019,Hibernian U21,Elgin City,3,4,A
SC3,06/08/2019,Kelty Hearts,Kilmarnock U21,4,0,H
SC3,06/08/2019,Livingston U21,Formartine United,1,3,A
SC3,06/08/2019,St. Johnstone U21,Cove Rangers,1,4,A
SC3,06/08/2019,St. Mirren U21,East Kilbride,1,0,H
SC3,06/09/2019,Waterford,Hearts U21,3,1,H
SC3,07/08/2019,Motherwell U21,Spartans,1,0,H
SC3,07/08/2019,Hamilton Academical U21,BSC Glasgow,4,0,H
SC3,07/09/2019,Connah's Quay,Cove Rangers,1,0,H
SC3,07/09/2019,St. Mirren U21,Stirling Albion,1,0,H
SC3,07/09/2019,Formartine United,Glenavon FC,0,3,A
SC3,07/09/2019,Clyde,Queen of the South,3,2,H
SC3,07/09/2019,Dunfermline,Alloa Athletic,1,2,A
SC3,07/09/2019,Raith Rovers,Falkirk,2,0,H
SC3,07/09/2019,Inverness CT,Morton,3,1,H
SC3,07/09/2019,Airdrie United,Bohemians,3,2,H
SC3,07/09/2019,Montrose,Partick,0,2,A
SC3,08/09/2019,Dundee,Elgin City,1,2,A
SC3,11/10/2019,Stenhousemuir,Waterford,3,2,H
SC3,12/10/2019,Airdrie United,Elgin City,0,2,A
SC3,12/10/2019,Arbroath,Clyde,0,2,A
SC3,12/10/2019,Wrexham,St. Mirren U21,4,1,H
SC3,12/10/2019,Raith Rovers,Glenavon FC,3,1,H
SC3,12/10/2019,Inverness CT,Alloa Athletic,3,0,H
SC3,12/10/2019,Partick,Connah's Quay,2,0,H
SC3,13/08/2019,Stranraer,Rangers U21,0,2,A
SC3,13/08/2019,Ross County U21,Raith Rovers,2,3,A
SC3,13/08/2019,Stenhousemuir,Edinburgh City,2,1,H
SC3,13/08/2019,Brechin,Elgin City,4,5,A
SC3,13/08/2019,Montrose,Forfar Athletic,2,1,H
SC3,13/08/2019,Brora Rangers,Cove Rangers,1,2,A
SC3,13/08/2019,Clyde,Motherwell U21,4,0,H
SC3,13/08/2019,East Fife,Stirling Albion,0,2,A
SC3,13/08/2019,Hamilton Academical U21,Airdrie United,0,1,A
SC3,13/08/2019,Hearts U21,Cowdenbeath,3,1,H
SC3,13/08/2019,Dumbarton,St. Mirren U21,0,1,A
SC3,14/02/2020,Partick,Raith Rovers,1,2,A
SC3,15/11/2019,Raith Rovers,Elgin City,3,2,H
SC3,16/02/2020,Inverness CT,Rangers U21,2,1,H
SC3,16/11/2019,Stenhousemuir,Partick,1,4,A
SC3,16/11/2019,Rangers U21,Wrexham,2,0,H
SC3,18/09/2019,Ballymena United,Rangers U21,0,1,A
