Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SP2,01/02/2026,Eibar,Sporting Gijon,1,0,H
SP2,01/02/2026,Castellón,FC Andorra,2,0,H
SP2,01/02/2026,Granada CF,Racing Santander,1,0,H
SP2,01/02/2026,Almeria,AD Ceuta FC,4,2,H
SP2,01/02/2026,Huesca,Cadiz,1,0,H
SP2,01/03/2026,Mirandes,AD Ceuta FC,0,1,A
SP2,01/03/2026,Cultural Leonesa,Las Palmas,0,3,A
SP2,01/03/2026,Eibar,Cadiz,3,1,H
SP2,01/03/2026,Real Sociedad II,Deportivo La Coruna,2,3,A
SP2,01/04/2026,Burgos,AD Ceuta FC,1,1,D
SP2,01/04/2026,FC Andorra,Malaga,3,3,D
SP2,01/04/2026,Racing Santander,Sporting Gijon,3,1,H
SP2,01/04/2026,Huesca,Cultural Leonesa,1,1,D
SP2,01/09/2025,Leganes,Deportivo La Coruna,2,2,D
SP2,01/09/2025,Huesca,Eibar,2,1,H
SP2,01/11/2025,Cultural Leonesa,Mirandes,3,2,H
SP2,01/11/2025,Leganes,Burgos,1,2,A
SP2,01/11/2025,Albacete,Huesca,2,1,H
SP2,01/11/2025,Almeria,Eibar,3,1,H
SP2,02/01/2026,Eibar,Mirandes,2,1,H
SP2,02/02/2026,Mirandes,Malaga,2,1,H
SP2,02/03/2026,Sporting Gijon,Leganes,0,0,D
SP2,02/03/2026,Cordoba,FC Andorra,1,4,A
SP2,02/04/2026,Las Palmas,Granada CF,2,0,H
SP2,02/04/2026,Leganes,Zaragoza,1,1,D
SP2,02/04/2026,Real Sociedad II,Eibar,0,1,A
SP2,02/04/2026,Castellón,Almeria,2,0,H
SP2,02/11/2025,Zaragoza,Deportivo La Coruna,0,2,A
SP2,02/11/2025,Sporting Gijon,Las Palmas,0,0,D
SP2,02/11/2025,Cordoba,AD Ceuta FC,2,0,H
SP2,02/11/2025,FC Andorra,Cadiz,0,0,D
SP2,02/11/2025,Castellón,Malaga,2,1,H
SP2,03/01/2026,Cordoba,Burgos,2,0,H
SP2,03/01/2026,Valladolid,Racing Santander,1,1,D
SP2,03/01/2026,Castellón,Huesca,4,1,H
SP2,03/01/2026,Almeria,Granada CF,3,2,H
SP2,03/01/2026,Cultural Leonesa,Real Sociedad II,1,1,D
SP2,03/10/2025,AD Ceuta FC,Eibar,1,0,H
SP2,03/11/2025,Valladolid,Granada CF,2,1,H
SP2,04/01/2026,Deportivo La Coruna,Cadiz,2,2,D
SP2,04/01/2026,Sporting Gijon,Malaga,1,3,A
SP2,04/01/2026,AD Ceuta FC,FC Andorra,2,1,H
SP2,04/01/2026,Albacete,Leganes,1,3,A
SP2,04/01/2026,Zaragoza,Las Palmas,1,2,A
SP2,04/04/2026,Cultural Leonesa,Valladolid,1,0,H
SP2,04/04/2026,Deportivo La Coruna,Malaga,1,1,D
SP2,04/04/2026,Albacete,Burgos,2,3,A
SP2,04/04/2026,Cadiz,Cordoba,1,3,A
SP2,04/10/2025,Granada CF,Real Sociedad II,5,2,H
SP2,04/10/2025,Deportivo La Coruna,Almeria,1,1,D
SP2,04/10/2025,FC Andorra,Leganes,1,2,A
SP2,04/10/2025,Huesca,Burgos,2,1,H
SP2,05/04/2026,FC Andorra,Racing Santander,6,2,H
SP2,05/04/2026,Zaragoza,Mirandes,1,2,A
SP2,05/04/2026,Eibar,AD Ceuta FC,3,0,H
SP2,05/04/2026,Las Palmas,Huesca,2,1,H
SP2,05/04/2026,Almeria,Leganes,2,1,H
SP2,05/09/2025,Cordoba,Castellón,2,1,H
SP2,05/09/2025,Albacete,Mirandes,1,4,A
SP2,05/10/2025,Racing Santander,Malaga,3,0,H
SP2,05/10/2025,Valladolid,Mirandes,1,1,D
SP2,05/10/2025,Castellón,Sporting Gijon,3,1,H
SP2,05/10/2025,Zaragoza,Cordoba,0,1,A
SP2,05/10/2025,Las Palmas,Cadiz,1,0,H
SP2,05/11/2025,Real Sociedad II,Huesca,2,0,H
SP2,06/02/2026,Leganes,Granada CF,1,0,H
SP2,06/03/2026,Cadiz,Zaragoza,0,1,A
SP2,06/04/2026,Castellón,Granada CF,3,2,H
SP2,06/04/2026,Sporting Gijon,Real Sociedad II,1,0,H
SP2,06/09/2025,Deportivo La Coruna,Sporting Gijon,1,0,H
SP2,06/09/2025,Zaragoza,Valladolid,1,1,D
SP2,06/09/2025,Malaga,Granada CF,2,2,D
SP2,06/10/2025,Cultural Leonesa,Albacete,0,0,D
SP2,06/12/2025,Real Sociedad II,Sporting Gijon,0,1,A
SP2,06/12/2025,Huesca,Valladolid,1,4,A
