Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC0,01/02/2019,Kilmarnock,Heart Of Midlothian,1,2,A
SC0,01/09/2018,Hamilton Academical,ST Johnstone,1,2,A
SC0,01/09/2018,Heart Of Midlothian,ST Mirren,4,1,H
SC0,01/09/2018,Livingston,Hibernian,2,1,H
SC0,01/09/2018,Aberdeen,Kilmarnock,0,2,A
SC0,01/09/2018,Dundee,Motherwell,1,3,A
SC0,01/12/2018,Livingston,Motherwell,2,0,H
SC0,01/12/2018,ST Mirren,Hamilton Academical,1,3,A
SC0,01/12/2018,Kilmarnock,Hibernian,3,0,H
SC0,02/02/2019,Hamilton Academical,Dundee,1,1,D
SC0,02/02/2019,Rangers,ST Mirren,4,0,H
SC0,02/02/2019,Motherwell,Livingston,3,0,H
SC0,02/02/2019,Hibernian,Aberdeen,1,2,A
SC0,02/03/2019,ST Mirren,Livingston,1,0,H
SC0,02/09/2018,Celtic,Rangers,1,0,H
SC0,02/12/2018,Heart Of Midlothian,Rangers,1,2,A
SC0,03/02/2019,ST Johnstone,Celtic,0,2,A
SC0,03/04/2019,Rangers,Heart Of Midlothian,3,0,H
SC0,03/04/2019,Livingston,Hamilton Academical,2,0,H
SC0,03/04/2019,Aberdeen,Motherwell,3,1,H
SC0,03/04/2019,ST Johnstone,Dundee,2,0,H
SC0,03/04/2019,Hibernian,Kilmarnock,0,0,D
SC0,03/04/2019,ST Mirren,Celtic,0,2,A
SC0,03/11/2018,ST Mirren,Rangers,0,2,A
SC0,03/11/2018,Celtic,Heart Of Midlothian,5,0,H
SC0,03/11/2018,Hamilton Academical,Livingston,1,0,H
SC0,03/11/2018,Hibernian,ST Johnstone,0,1,A
SC0,03/11/2018,Motherwell,Dundee,1,0,H
SC0,04/05/2019,Motherwell,ST Mirren,1,1,D
SC0,04/05/2019,Aberdeen,Celtic,0,3,A
SC0,04/05/2019,Dundee,Hamilton Academical,0,1,A
SC0,04/05/2019,Heart Of Midlothian,Kilmarnock,0,1,A
SC0,04/05/2019,ST Johnstone,Livingston,1,1,D
SC0,04/08/2018,Celtic,Livingston,3,1,H
SC0,04/08/2018,Hamilton Academical,Heart Of Midlothian,1,4,A
SC0,04/08/2018,Kilmarnock,ST Johnstone,2,0,H
SC0,04/08/2018,ST Mirren,Dundee,2,1,H
SC0,04/11/2018,Kilmarnock,Aberdeen,1,2,A
SC0,05/05/2019,Rangers,Hibernian,1,0,H
SC0,05/08/2018,Aberdeen,Rangers,1,1,D
SC0,05/08/2018,Hibernian,Motherwell,3,0,H
SC0,05/12/2018,ST Johnstone,Heart Of Midlothian,2,2,D
SC0,05/12/2018,Rangers,Aberdeen,0,1,A
SC0,05/12/2018,Dundee,Hamilton Academical,4,0,H
SC0,05/12/2018,Kilmarnock,Livingston,2,0,H
SC0,05/12/2018,Hibernian,ST Mirren,2,2,D
SC0,05/12/2018,Motherwell,Celtic,1,1,D
SC0,06/02/2019,Aberdeen,Rangers,2,4,A
SC0,06/02/2019,Heart Of Midlothian,Livingston,0,0,D
SC0,06/02/2019,Dundee,Kilmarnock,2,2,D
SC0,06/02/2019,Hamilton Academical,ST Johnstone,2,1,H
SC0,06/02/2019,ST Mirren,Motherwell,1,2,A
SC0,06/02/2019,Celtic,Hibernian,2,0,H
SC0,06/04/2019,Celtic,Livingston,0,0,D
SC0,06/04/2019,Hamilton Academical,ST Mirren,1,1,D
SC0,06/04/2019,Kilmarnock,ST Johnstone,2,0,H
SC0,06/04/2019,Dundee,Aberdeen,0,2,A
SC0,06/04/2019,Heart Of Midlothian,Hibernian,1,2,A
SC0,06/10/2018,Hibernian,Hamilton Academical,6,0,H
SC0,06/10/2018,Motherwell,Livingston,1,1,D
SC0,06/10/2018,Dundee,Kilmarnock,1,2,A
SC0,06/10/2018,Aberdeen,ST Mirren,4,1,H
SC0,07/04/2019,Motherwell,Rangers,0,3,A
SC0,07/10/2018,ST Johnstone,Celtic,0,6,A
