Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
B1,01/04/2022,Beerschot VA,Club Brugge KV,1,3,A
B1,01/05/2022,Anderlecht,Club Brugge KV,0,0,D
B1,01/05/2022,Antwerp,Union St. Gilloise,0,0,D
B1,01/08/2021,Zulte Waregem,Standard Liege,1,2,A
B1,01/08/2021,Antwerp,Kortrijk,0,1,A
B1,01/08/2021,Gent,Beerschot VA,2,2,D
B1,01/08/2021,Union St. Gilloise,Club Brugge KV,0,1,A
B1,01/10/2021,KV Mechelen,Standard Liege,3,1,H
B1,02/02/2022,Kortrijk,Antwerp,0,2,A
B1,02/03/2022,Standard Liege,Beerschot VA,1,0,H
B1,02/04/2022,KV Mechelen,Kortrijk,3,2,H
B1,02/04/2022,Oostende,Seraing United,2,2,D
B1,02/04/2022,OH Leuven,Antwerp,0,1,A
B1,02/04/2022,Zulte Waregem,St. Truiden,0,2,A
B1,02/10/2021,Kortrijk,Charleroi,2,2,D
B1,02/10/2021,St. Truiden,Oostende,1,1,D
B1,02/10/2021,OH Leuven,Beerschot VA,0,0,D
B1,02/10/2021,Cercle Brugge,Union St. Gilloise,0,3,A
B1,03/04/2022,Genk,AS Eupen,5,0,H
B1,03/04/2022,Cercle Brugge,Gent,2,2,D
B1,03/04/2022,Standard Liege,Union St. Gilloise,1,3,A
B1,03/04/2022,Anderlecht,Charleroi,4,0,H
B1,03/10/2021,Anderlecht,Club Brugge KV,1,1,D
B1,03/10/2021,Seraing United,Zulte Waregem,5,1,H
B1,03/10/2021,Antwerp,Gent,1,0,H
B1,03/10/2021,AS Eupen,Genk,3,2,H
B1,03/12/2021,St. Truiden,Union St. Gilloise,1,2,A
B1,04/02/2022,Charleroi,Seraing United,2,0,H
B1,04/03/2022,St. Truiden,KV Mechelen,1,1,D
B1,04/12/2021,Club Brugge KV,Seraing United,3,2,H
B1,04/12/2021,Kortrijk,Cercle Brugge,0,2,A
B1,04/12/2021,OH Leuven,Gent,0,1,A
B1,04/12/2021,Oostende,AS Eupen,2,1,H
B1,05/02/2022,Oostende,OH Leuven,1,3,A
B1,05/02/2022,Antwerp,Union St. Gilloise,0,2,A
B1,05/02/2022,Standard Liege,Cercle Brugge,1,1,D
B1,05/02/2022,Kortrijk,St. Truiden,1,3,A
B1,05/03/2022,Cercle Brugge,Genk,2,2,D
B1,05/03/2022,Kortrijk,Union St. Gilloise,2,3,A
B1,05/03/2022,Seraing United,Club Brugge KV,0,5,A
B1,05/11/2021,OH Leuven,Oostende,1,0,H
B1,05/12/2021,Beerschot VA,Antwerp,0,1,A
B1,05/12/2021,Anderlecht,Zulte Waregem,3,2,H
B1,05/12/2021,Standard Liege,Charleroi,0,3,A
B1,05/12/2021,KV Mechelen,Genk,1,1,D
B1,06/02/2022,Anderlecht,AS Eupen,4,1,H
B1,06/02/2022,Genk,Zulte Waregem,2,0,H
B1,06/02/2022,Club Brugge KV,Gent,1,2,A
B1,06/02/2022,KV Mechelen,Beerschot VA,3,2,H
B1,06/03/2022,AS Eupen,OH Leuven,3,1,H
B1,06/03/2022,Charleroi,Standard Liege,0,0,D
B1,06/03/2022,Anderlecht,Oostende,3,0,H
B1,06/03/2022,Antwerp,Beerschot VA,2,1,H
B1,06/03/2022,Gent,Zulte Waregem,2,1,H
B1,06/05/2022,Charleroi,Genk,2,2,D
B1,06/08/2021,Club Brugge KV,Cercle Brugge,1,1,D
B1,06/11/2021,AS Eupen,Zulte Waregem,1,1,D
B1,06/11/2021,Union St. Gilloise,Charleroi,4,0,H
B1,06/11/2021,KV Mechelen,St. Truiden,0,1,A
B1,06/11/2021,Kortrijk,Beerschot VA,1,1,D
B1,07/05/2022,Gent,KV Mechelen,1,0,H
B1,07/08/2021,Beerschot VA,Union St. Gilloise,0,3,A
B1,07/08/2021,KV Mechelen,AS Eupen,1,3,A
B1,07/08/2021,St. Truiden,Zulte Waregem,1,3,A
B1,07/08/2021,Kortrijk,Genk,1,2,A
B1,07/11/2021,Club Brugge KV,Standard Liege,2,2,D
B1,07/11/2021,Antwerp,Anderlecht,2,0,H
B1,07/11/2021,Genk,Cercle Brugge,1,1,D
B1,07/11/2021,Seraing United,Gent,0,0,D
B1,08/05/2022,Antwerp,Anderlecht,0,4,A
B1,08/05/2022,Union St. Gilloise,Club Brugge KV,0,2,A
B1,08/08/2021,Anderlecht,Seraing United,3,0,H
B1,08/08/2021,OH Leuven,Charleroi,1,1,D
B1,08/08/2021,Standard Liege,Antwerp,2,5,A
B1,08/08/2021,Oostende,Gent,1,0,H
B1,09/02/2022,Zulte Waregem,Oostende,0,0,D
B1,09/02/2022,OH Leuven,Genk,2,1,H
B1,09/04/2022,AS Eupen,Oostende,0,2,A
B1,09/04/2022,Antwerp,Cercle Brugge,1,1,D
B1,10/04/2022,Union St. Gilloise,Beerschot VA,5,0,H
B1,10/04/2022,Charleroi,Zulte Waregem,3,0,H
