Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
N1,01/02/2025,PEC Zwolle,Utrecht,3,3,D
N1,01/02/2025,Heerenveen,Fortuna Sittard,2,2,D
N1,01/02/2025,NEC Nijmegen,PSV Eindhoven,3,3,D
N1,01/03/2025,Feyenoord,NEC Nijmegen,0,0,D
N1,01/03/2025,Groningen,Twente,1,1,D
N1,01/03/2025,GO Ahead Eagles,PSV Eindhoven,3,2,H
N1,01/03/2025,Utrecht,NAC Breda,1,0,H
N1,01/04/2025,AZ Alkmaar,Waalwijk,2,2,D
N1,01/06/2025,Willem II,Telstar,1,3,A
N1,01/09/2024,Utrecht,Twente,2,1,H
N1,01/09/2024,PEC Zwolle,Heracles,3,0,H
N1,01/09/2024,PSV Eindhoven,GO Ahead Eagles,3,0,H
N1,01/12/2024,Utrecht,PSV Eindhoven,2,5,A
N1,01/12/2024,AZ Alkmaar,Heracles,1,0,H
N1,01/12/2024,Twente,GO Ahead Eagles,3,2,H
N1,01/12/2024,NEC Nijmegen,Ajax,1,2,A
N1,02/02/2025,Sparta Rotterdam,Groningen,1,0,H
N1,02/02/2025,Willem II,AZ Alkmaar,0,2,A
N1,02/02/2025,GO Ahead Eagles,Twente,2,2,D
N1,02/02/2025,Ajax,Feyenoord,2,1,H
N1,02/02/2025,Almere City FC,Waalwijk,1,4,A
N1,02/03/2025,Almere City FC,Ajax,0,1,A
N1,02/03/2025,Heerenveen,AZ Alkmaar,3,1,H
N1,02/03/2025,Sparta Rotterdam,Willem II,4,0,H
N1,02/03/2025,Heracles,PEC Zwolle,4,2,H
N1,02/04/2025,Feyenoord,Groningen,4,1,H
N1,02/11/2024,Feyenoord,AZ Alkmaar,3,2,H
N1,02/11/2024,Fortuna Sittard,Heerenveen,3,0,H
N1,02/11/2024,Heracles,NAC Breda,2,0,H
N1,02/11/2024,Ajax,PSV Eindhoven,3,2,H
N1,02/11/2024,Willem II,Twente,0,1,A
N1,03/05/2025,PSV Eindhoven,Fortuna Sittard,4,1,H
N1,03/05/2025,Groningen,Waalwijk,6,1,H
N1,03/05/2025,Heracles,Feyenoord,1,4,A
N1,03/05/2025,NEC Nijmegen,Willem II,1,1,D
N1,03/11/2024,GO Ahead Eagles,PEC Zwolle,2,2,D
N1,03/11/2024,NEC Nijmegen,Groningen,6,0,H
N1,03/11/2024,Sparta Rotterdam,Utrecht,1,4,A
N1,03/11/2024,Waalwijk,Almere City FC,2,0,H
N1,04/04/2025,Heerenveen,Willem II,3,1,H
N1,04/05/2025,Sparta Rotterdam,Twente,0,2,A
N1,04/05/2025,GO Ahead Eagles,AZ Alkmaar,0,3,A
N1,04/05/2025,NAC Breda,PEC Zwolle,1,3,A
N1,04/10/2024,Almere City FC,Willem II,0,1,A
N1,04/12/2024,Ajax,Utrecht,2,2,D
N1,05/04/2025,Groningen,PSV Eindhoven,1,3,A
N1,05/04/2025,Almere City FC,PEC Zwolle,2,2,D
N1,05/04/2025,AZ Alkmaar,Feyenoord,0,1,A
N1,05/04/2025,Twente,Fortuna Sittard,1,1,D
N1,05/10/2024,NAC Breda,NEC Nijmegen,1,0,H
N1,05/10/2024,PSV Eindhoven,Sparta Rotterdam,2,1,H
N1,05/10/2024,Utrecht,Waalwijk,3,2,H
N1,06/04/2025,Waalwijk,Heracles,0,0,D
N1,06/04/2025,GO Ahead Eagles,Utrecht,2,2,D
N1,06/04/2025,Sparta Rotterdam,NEC Nijmegen,2,0,H
N1,06/04/2025,Ajax,NAC Breda,3,1,H
N1,06/10/2024,Heerenveen,PEC Zwolle,1,1,D
N1,06/10/2024,Feyenoord,Twente,2,1,H
N1,06/10/2024,Fortuna Sittard,AZ Alkmaar,1,0,H
N1,06/10/2024,GO Ahead Eagles,Heracles,4,1,H
N1,06/10/2024,Ajax,Groningen,3,1,H
N1,06/12/2024,PSV Eindhoven,Twente,6,1,H
N1,07/03/2025,NAC Breda,Sparta Rotterdam,1,1,D
N1,07/12/2024,Waalwijk,Feyenoord,2,3,A
N1,07/12/2024,Sparta Rotterdam,NAC Breda,0,2,A
N1,07/12/2024,GO Ahead Eagles,NEC Nijmegen,5,0,H
N1,07/12/2024,Heracles,Fortuna Sittard,2,2,D
N1,08/02/2025,Feyenoord,Sparta Rotterdam,3,0,H
N1,08/02/2025,Heracles,GO Ahead Eagles,4,2,H
N1,08/02/2025,PSV Eindhoven,Willem II,1,1,D
N1,08/02/2025,Groningen,NEC Nijmegen,2,1,H
N1,08/03/2025,Fortuna Sittard,Heracles,1,0,H
N1,08/03/2025,PSV Eindhoven,Heerenveen,2,1,H
N1,08/11/2024,Utrecht,Heracles,1,0,H
N1,08/12/2024,Groningen,PEC Zwolle,0,0,D
N1,08/12/2024,Willem II,Heerenveen,1,2,A
N1,08/12/2024,Almere City FC,Utrecht,1,3,A
N1,08/12/2024,AZ Alkmaar,Ajax,2,1,H
N1,09/02/2025,Waalwijk,NAC Breda,5,0,H
N1,09/02/2025,Utrecht,Almere City FC,0,1,A
N1,09/02/2025,Heerenveen,Twente,3,3,D
N1,09/02/2025,Fortuna Sittard,Ajax,0,2,A
N1,09/02/2025,AZ Alkmaar,PEC Zwolle,2,0,H
N1,09/03/2025,Twente,Almere City FC,1,0,H
N1,09/03/2025,NEC Nijmegen,GO Ahead Eagles,2,3,A
N1,09/03/2025,PEC Zwolle,Ajax,0,1,A
N1,09/03/2025,Willem II,Utrecht,2,3,A
N1,09/05/2025,Willem II,Heracles,1,2,A
N1,09/08/2024,Groningen,NAC Breda,4,1,H
N1,09/11/2024,Groningen,Sparta Rotterdam,1,0,H
N1,09/11/2024,PEC Zwolle,Fortuna Sittard,3,1,H
N1,09/11/2024,NAC Breda,PSV Eindhoven,0,3,A
N1,09/11/2024,Waalwijk,NEC Nijmegen,0,3,A
N1,10/01/2025,Fortuna Sittard,GO Ahead Eagles,0,3,A
N1,10/05/2025,Fortuna Sittard,NAC Breda,1,0,H
N1,10/05/2025,Almere City FC,Sparta Rotterdam,0,3,A
N1,10/05/2025,Waalwijk,Heerenveen,3,1,H
N1,10/08/2024,Feyenoord,Willem II,1,1,D
N1,10/08/2024,PSV Eindhoven,Waalwijk,5,1,H
N1,10/08/2024,NEC Nijmegen,Twente,1,2,A
N1,10/08/2024,Almere City FC,AZ Alkmaar,0,1,A
N1,10/11/2024,AZ Alkmaar,Willem II,1,2,A
N1,10/11/2024,Twente,Ajax,2,2,D
N1,10/11/2024,Heerenveen,GO Ahead Eagles,1,0,H
N1,10/11/2024,Almere City FC,Feyenoord,1,4,A
N1,11/01/2025,Heracles,Sparta Rotterdam,1,1,D
N1,11/01/2025,Ajax,Waalwijk,2,1,H
N1,11/01/2025,PEC Zwolle,NEC Nijmegen,0,1,A
N1,11/01/2025,PSV Eindhoven,AZ Alkmaar,2,2,D
N1,11/04/2025,NEC Nijmegen,Waalwijk,2,1,H
N1,11/05/2025,AZ Alkmaar,Groningen,3,0,H
N1,11/05/2025,Ajax,NEC Nijmegen,0,3,A
N1,11/05/2025,Twente,Utrecht,2,0,H
N1,11/05/2025,Feyenoord,PSV Eindhoven,2,3,A
N1,11/05/2025,PEC Zwolle,GO Ahead Eagles,1,1,D
N1,11/08/2024,GO Ahead Eagles,Fortuna Sittard,0,2,A
N1,11/08/2024,Sparta Rotterdam,Heracles,0,0,D
