Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
D2,01/04/2012,FC Ingolstadt 04,MSV Duisburg,1,1,D
D2,01/04/2012,Karlsruher SC,Union Berlin,2,0,H
D2,01/04/2012,Energie Cottbus,FSV Frankfurt,1,1,D
D2,01/10/2011,FC Ingolstadt 04,Vfl Bochum,3,5,A
D2,01/10/2011,Energie Cottbus,FC St. Pauli,1,4,A
D2,02/03/2012,FC Ingolstadt 04,Union Berlin,3,3,D
D2,02/03/2012,MSV Duisburg,SpVgg Greuther Furth,0,2,A
D2,02/03/2012,Vfl Bochum,Dynamo Dresden,0,2,A
D2,02/04/2012,Fortuna Dusseldorf,FC St. Pauli,0,0,D
D2,02/10/2011,TSV 1860 Munich,Dynamo Dresden,2,4,A
D2,02/10/2011,Karlsruher SC,SpVgg Greuther Furth,2,2,D
D2,02/10/2011,MSV Duisburg,SC Paderborn 07,0,1,A
D2,02/12/2011,SC Paderborn 07,FC St. Pauli,1,1,D
D2,02/12/2011,FC Ingolstadt 04,Eintracht Braunschweig,0,1,A
D2,02/12/2011,Union Berlin,Energie Cottbus,1,0,H
D2,03/02/2012,Dynamo Dresden,SpVgg Greuther Furth,3,1,H
D2,03/02/2012,SC Paderborn 07,Union Berlin,3,2,H
D2,03/02/2012,MSV Duisburg,FSV Frankfurt,1,2,A
D2,03/03/2012,Karlsruher SC,Fortuna Dusseldorf,0,5,A
D2,03/03/2012,Alemannia Aachen,SC Paderborn 07,0,3,A
D2,03/10/2011,Eintracht Braunschweig,Fortuna Dusseldorf,1,1,D
D2,03/12/2011,SpVgg Greuther Furth,Hansa Rostock,3,0,H
D2,03/12/2011,Eintracht Frankfurt,Karlsruher SC,2,0,H
D2,04/02/2012,Alemannia Aachen,FC St. Pauli,2,1,H
D2,04/02/2012,FC Ingolstadt 04,Fortuna Dusseldorf,1,1,D
D2,04/03/2012,Erzgebirge AUE,FSV Frankfurt,4,3,H
D2,04/03/2012,Eintracht Frankfurt,Energie Cottbus,1,0,H
D2,04/03/2012,Eintracht Braunschweig,Hansa Rostock,3,2,H
D2,04/11/2011,Fortuna Dusseldorf,Dynamo Dresden,2,1,H
D2,04/11/2011,Eintracht Braunschweig,Union Berlin,1,2,A
D2,04/11/2011,Karlsruher SC,FC Ingolstadt 04,3,2,H
D2,04/12/2011,Vfl Bochum,Erzgebirge AUE,6,0,H
D2,04/12/2011,Alemannia Aachen,TSV 1860 Munich,2,2,D
D2,04/12/2011,Dynamo Dresden,FSV Frankfurt,2,2,D
D2,05/02/2012,Karlsruher SC,Erzgebirge AUE,2,1,H
D2,05/02/2012,Vfl Bochum,Hansa Rostock,2,1,H
D2,05/02/2012,Eintracht Frankfurt,Eintracht Braunschweig,2,1,H
D2,05/03/2012,TSV 1860 Munich,FC St. Pauli,1,1,D
D2,05/04/2012,SpVgg Greuther Furth,Energie Cottbus,3,0,H
D2,05/04/2012,Union Berlin,Erzgebirge AUE,1,0,H
D2,05/04/2012,Hansa Rostock,Fortuna Dusseldorf,2,1,H
D2,05/08/2011,FC St. Pauli,Alemannia Aachen,3,1,H
D2,05/08/2011,Union Berlin,SC Paderborn 07,3,0,H
D2,05/08/2011,Fortuna Dusseldorf,FC Ingolstadt 04,4,1,H
D2,05/11/2011,FC St. Pauli,SpVgg Greuther Furth,2,2,D
D2,05/11/2011,TSV 1860 Munich,Vfl Bochum,1,3,A
D2,05/12/2011,MSV Duisburg,Fortuna Dusseldorf,0,2,A
D2,06/02/2012,TSV 1860 Munich,Energie Cottbus,2,0,H
D2,06/05/2012,Fortuna Dusseldorf,MSV Duisburg,2,2,D
D2,06/05/2012,FC St. Pauli,SC Paderborn 07,5,0,H
D2,06/05/2012,Erzgebirge AUE,Vfl Bochum,2,1,H
D2,06/05/2012,Eintracht Braunschweig,FC Ingolstadt 04,3,1,H
D2,06/05/2012,Karlsruher SC,Eintracht Frankfurt,1,0,H
D2,06/05/2012,TSV 1860 Munich,Alemannia Aachen,1,2,A
D2,06/05/2012,Energie Cottbus,Union Berlin,2,1,H
D2,06/05/2012,Hansa Rostock,SpVgg Greuther Furth,2,2,D
D2,06/05/2012,FSV Frankfurt,Dynamo Dresden,1,1,D
D2,06/08/2011,SpVgg Greuther Furth,Dynamo Dresden,1,0,H
D2,06/08/2011,Energie Cottbus,TSV 1860 Munich,0,5,A
D2,06/11/2011,Alemannia Aachen,MSV Duisburg,2,2,D
D2,06/11/2011,FSV Frankfurt,Hansa Rostock,0,0,D
D2,06/11/2011,Energie Cottbus,SC Paderborn 07,0,2,A
D2,07/04/2012,FSV Frankfurt,FC St. Pauli,3,3,D
D2,07/04/2012,MSV Duisburg,Eintracht Frankfurt,2,0,H
D2,07/04/2012,Dynamo Dresden,Eintracht Braunschweig,2,2,D
D2,07/08/2011,Erzgebirge AUE,Karlsruher SC,0,2,A
D2,07/08/2011,FSV Frankfurt,MSV Duisburg,0,0,D
D2,07/08/2011,Eintracht Braunschweig,Eintracht Frankfurt,0,3,A
D2,07/11/2011,Erzgebirge AUE,Eintracht Frankfurt,1,2,A
D2,08/04/2012,SC Paderborn 07,TSV 1860 Munich,2,2,D
D2,08/04/2012,FC Ingolstadt 04,Alemannia Aachen,3,3,D
D2,08/04/2012,Vfl Bochum,Karlsruher SC,0,0,D
D2,08/08/2011,Hansa Rostock,Vfl Bochum,0,0,D
D2,09/03/2012,SC Paderborn 07,Vfl Bochum,0,0,D
D2,09/03/2012,Union Berlin,MSV Duisburg,1,1,D
D2,09/03/2012,SpVgg Greuther Furth,Alemannia Aachen,1,0,H
