Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
D1,01/04/2022,Union Berlin,1. FC Köln,1,0,H
D1,01/10/2021,1. FC Köln,SpVgg Greuther Furth,3,1,H
D1,02/04/2022,Borussia Dortmund,RB Leipzig,1,4,A
D1,02/04/2022,Arminia Bielefeld,VfB Stuttgart,1,1,D
D1,02/04/2022,Eintracht Frankfurt,SpVgg Greuther Furth,0,0,D
D1,02/04/2022,Bayer Leverkusen,Hertha Berlin,2,1,H
D1,02/04/2022,1899 Hoffenheim,Vfl Bochum,1,2,A
D1,02/04/2022,SC Freiburg,Bayern Munich,1,4,A
D1,02/05/2022,Borussia Monchengladbach,RB Leipzig,3,1,H
D1,02/05/2022,Bayer Leverkusen,Eintracht Frankfurt,2,0,H
D1,02/10/2021,VfB Stuttgart,1899 Hoffenheim,3,1,H
D1,02/10/2021,Hertha Berlin,SC Freiburg,1,2,A
D1,02/10/2021,VfL Wolfsburg,Borussia Monchengladbach,1,3,A
D1,02/10/2021,Borussia Dortmund,FC Augsburg,2,1,H
D1,02/10/2021,RB Leipzig,Vfl Bochum,3,0,H
D1,03/04/2022,FC Augsburg,VfL Wolfsburg,3,0,H
D1,03/04/2022,Borussia Monchengladbach,FSV Mainz 05,1,1,D
D1,03/10/2021,FSV Mainz 05,Union Berlin,1,2,A
D1,03/10/2021,Bayern Munich,Eintracht Frankfurt,1,2,A
D1,03/10/2021,Arminia Bielefeld,Bayer Leverkusen,0,4,A
D1,03/12/2021,Union Berlin,RB Leipzig,2,1,H
D1,04/02/2022,Hertha Berlin,Vfl Bochum,1,1,D
D1,04/03/2022,Arminia Bielefeld,FC Augsburg,0,1,A
D1,04/12/2021,1899 Hoffenheim,Eintracht Frankfurt,3,2,H
D1,04/12/2021,Bayer Leverkusen,SpVgg Greuther Furth,7,1,H
D1,04/12/2021,FC Augsburg,Vfl Bochum,2,3,A
D1,04/12/2021,Arminia Bielefeld,1. FC Köln,1,1,D
D1,04/12/2021,Borussia Dortmund,Bayern Munich,2,3,A
D1,04/12/2021,FSV Mainz 05,VfL Wolfsburg,3,0,H
D1,05/02/2022,FC Augsburg,Union Berlin,2,0,H
D1,05/02/2022,FSV Mainz 05,1899 Hoffenheim,2,0,H
D1,05/02/2022,1. FC Köln,SC Freiburg,1,0,H
D1,05/02/2022,Bayern Munich,RB Leipzig,3,2,H
D1,05/02/2022,VfB Stuttgart,Eintracht Frankfurt,2,3,A
D1,05/02/2022,Arminia Bielefeld,Borussia Monchengladbach,1,1,D
D1,05/03/2022,Vfl Bochum,SpVgg Greuther Furth,2,1,H
D1,05/03/2022,RB Leipzig,SC Freiburg,1,1,D
D1,05/03/2022,Bayern Munich,Bayer Leverkusen,1,1,D
D1,05/03/2022,VfB Stuttgart,Borussia Monchengladbach,3,2,H
D1,05/03/2022,Hertha Berlin,Eintracht Frankfurt,1,4,A
D1,05/03/2022,VfL Wolfsburg,Union Berlin,1,0,H
D1,05/11/2021,FSV Mainz 05,Borussia Monchengladbach,1,1,D
D1,05/12/2021,Borussia Monchengladbach,SC Freiburg,0,6,A
D1,05/12/2021,VfB Stuttgart,Hertha Berlin,2,2,D
D1,06/02/2022,Borussia Dortmund,Bayer Leverkusen,2,5,A
D1,06/02/2022,VfL Wolfsburg,SpVgg Greuther Furth,4,1,H
D1,06/03/2022,1. FC Köln,1899 Hoffenheim,0,1,A
D1,06/04/2022,FC Augsburg,FSV Mainz 05,2,1,H
D1,06/05/2022,Vfl Bochum,Arminia Bielefeld,2,1,H
D1,06/11/2021,Bayern Munich,SC Freiburg,2,1,H
D1,06/11/2021,VfL Wolfsburg,FC Augsburg,1,0,H
D1,06/11/2021,VfB Stuttgart,Arminia Bielefeld,0,1,A
D1,06/11/2021,Vfl Bochum,1899 Hoffenheim,2,0,H
D1,06/11/2021,RB Leipzig,Borussia Dortmund,2,1,H
D1,07/01/2022,Bayern Munich,Borussia Monchengladbach,1,2,A
D1,07/05/2022,1899 Hoffenheim,Bayer Leverkusen,2,4,A
D1,07/05/2022,SpVgg Greuther Furth,Borussia Dortmund,1,3,A
D1,07/05/2022,1. FC Köln,VfL Wolfsburg,0,1,A
D1,07/05/2022,Hertha Berlin,FSV Mainz 05,1,2,A
D1,07/05/2022,SC Freiburg,Union Berlin,1,4,A
D1,07/11/2021,SpVgg Greuther Furth,Eintracht Frankfurt,1,2,A
D1,07/11/2021,1. FC Köln,Union Berlin,2,2,D
D1,07/11/2021,Hertha Berlin,Bayer Leverkusen,1,1,D
D1,08/01/2022,SC Freiburg,Arminia Bielefeld,2,2,D
D1,08/01/2022,1899 Hoffenheim,FC Augsburg,3,1,H
D1,08/01/2022,Bayer Leverkusen,Union Berlin,2,2,D
D1,08/01/2022,RB Leipzig,FSV Mainz 05,4,1,H
D1,08/01/2022,Eintracht Frankfurt,Borussia Dortmund,2,3,A
D1,08/01/2022,SpVgg Greuther Furth,VfB Stuttgart,0,0,D
D1,08/04/2022,VfB Stuttgart,Borussia Dortmund,0,2,A
D1,08/05/2022,RB Leipzig,FC Augsburg,4,0,H
D1,08/05/2022,Bayern Munich,VfB Stuttgart,2,2,D
D1,08/05/2022,Eintracht Frankfurt,Borussia Monchengladbach,1,1,D
D1,09/01/2022,Hertha Berlin,1. FC Köln,1,3,A
D1,09/01/2022,Vfl Bochum,VfL Wolfsburg,1,0,H
D1,09/04/2022,Bayern Munich,FC Augsburg,1,0,H
D1,09/04/2022,VfL Wolfsburg,Arminia Bielefeld,4,0,H
D1,09/04/2022,SpVgg Greuther Furth,Borussia Monchengladbach,0,2,A
D1,09/04/2022,1. FC Köln,FSV Mainz 05,3,2,H
D1,09/04/2022,Hertha Berlin,Union Berlin,1,4,A
D1,10/04/2022,Vfl Bochum,Bayer Leverkusen,0,0,D
D1,10/04/2022,RB Leipzig,1899 Hoffenheim,3,0,H
D1,10/04/2022,Eintracht Frankfurt,SC Freiburg,1,2,A
D1,10/12/2021,1. FC Köln,FC Augsburg,0,2,A
D1,11/02/2022,RB Leipzig,1. FC Köln,3,1,H
D1,11/09/2021,SpVgg Greuther Furth,VfL Wolfsburg,0,2,A
D1,11/09/2021,1899 Hoffenheim,FSV Mainz 05,0,2,A
D1,11/09/2021,SC Freiburg,1. FC Köln,1,1,D
D1,11/09/2021,Bayer Leverkusen,Borussia Dortmund,3,4,A
D1,11/09/2021,RB Leipzig,Bayern Munich,1,4,A
D1,11/09/2021,Union Berlin,FC Augsburg,0,0,D
D1,11/12/2021,RB Leipzig,Borussia Monchengladbach,4,1,H
D1,11/12/2021,Bayern Munich,FSV Mainz 05,2,1,H
D1,11/12/2021,Hertha Berlin,Arminia Bielefeld,2,0,H
D1,11/12/2021,SC Freiburg,1899 Hoffenheim,1,2,A
D1,11/12/2021,Vfl Bochum,Borussia Dortmund,1,1,D
D1,11/12/2021,VfL Wolfsburg,VfB Stuttgart,0,2,A
D1,12/02/2022,Eintracht Frankfurt,VfL Wolfsburg,0,2,A
D1,12/02/2022,Borussia Monchengladbach,FC Augsburg,3,2,H
D1,12/02/2022,SC Freiburg,FSV Mainz 05,1,1,D
D1,12/02/2022,Vfl Bochum,Bayern Munich,4,2,H
D1,12/02/2022,Bayer Leverkusen,VfB Stuttgart,4,2,H
D1,12/02/2022,SpVgg Greuther Furth,Hertha Berlin,2,1,H
D1,12/03/2022,SC Freiburg,VfL Wolfsburg,3,2,H
D1,12/03/2022,1899 Hoffenheim,Bayern Munich,1,1,D
D1,12/03/2022,Union Berlin,VfB Stuttgart,1,1,D
D1,12/03/2022,Borussia Monchengladbach,Hertha Berlin,2,0,H
D1,12/09/2021,Eintracht Frankfurt,VfB Stuttgart,1,1,D
D1,12/09/2021,Borussia Monchengladbach,Arminia Bielefeld,3,1,H
D1,12/09/2021,Vfl Bochum,Hertha Berlin,1,3,A
D1,12/12/2021,SpVgg Greuther Furth,Union Berlin,1,0,H
D1,12/12/2021,Eintracht Frankfurt,Bayer Leverkusen,5,2,H
D1,13/02/2022,1899 Hoffenheim,Arminia Bielefeld,2,0,H
D1,13/02/2022,Union Berlin,Borussia Dortmund,0,3,A
D1,13/03/2022,Bayer Leverkusen,1. FC Köln,0,1,A
D1,13/03/2022,SpVgg Greuther Furth,RB Leipzig,1,6,A
D1,13/03/2022,Borussia Dortmund,Arminia Bielefeld,1,0,H
D1,13/03/2022,Eintracht Frankfurt,Vfl Bochum,2,1,H
D1,13/08/2021,Borussia Monchengladbach,Bayern Munich,1,1,D
D1,14/01/2022,Borussia Dortmund,SC Freiburg,5,1,H
D1,14/05/2022,VfL Wolfsburg,Bayern Munich,2,2,D
D1,14/05/2022,Arminia Bielefeld,RB Leipzig,1,1,D
D1,14/05/2022,Union Berlin,Vfl Bochum,3,2,H
D1,14/05/2022,VfB Stuttgart,1. FC Köln,2,1,H
D1,14/05/2022,FC Augsburg,SpVgg Greuther Furth,2,1,H
D1,14/05/2022,Bayer Leverkusen,SC Freiburg,2,1,H
D1,14/05/2022,Borussia Dortmund,Hertha Berlin,2,1,H
D1,14/05/2022,FSV Mainz 05,Eintracht Frankfurt,2,2,D
D1,14/05/2022,Borussia Monchengladbach,1899 Hoffenheim,5,1,H
D1,14/08/2021,Arminia Bielefeld,SC Freiburg,0,0,D
D1,14/08/2021,Union Berlin,Bayer Leverkusen,1,1,D
D1,14/08/2021,Borussia Dortmund,Eintracht Frankfurt,5,2,H
D1,14/08/2021,FC Augsburg,1899 Hoffenheim,0,4,A
D1,14/08/2021,VfL Wolfsburg,Vfl Bochum,1,0,H
D1,14/08/2021,VfB Stuttgart,SpVgg Greuther Furth,5,1,H
D1,14/12/2021,FSV Mainz 05,Hertha Berlin,4,0,H
D1,14/12/2021,VfB Stuttgart,Bayern Munich,0,5,A
D1,14/12/2021,VfL Wolfsburg,1. FC Köln,2,3,A
D1,14/12/2021,Arminia Bielefeld,Vfl Bochum,2,0,H
D1,15/01/2022,VfL Wolfsburg,Hertha Berlin,0,0,D
D1,15/01/2022,FSV Mainz 05,Vfl Bochum,1,0,H
D1,15/01/2022,VfB Stuttgart,RB Leipzig,0,2,A
D1,15/01/2022,Union Berlin,1899 Hoffenheim,2,1,H
D1,15/01/2022,1. FC Köln,Bayern Munich,0,4,A
D1,15/01/2022,Borussia Monchengladbach,Bayer Leverkusen,1,2,A
D1,15/08/2021,FSV Mainz 05,RB Leipzig,1,0,H
D1,15/08/2021,1. FC Köln,Hertha Berlin,3,1,H
