Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC1,01/09/2012,Airdrie United,Cowdenbeath,0,3,A
SC1,01/09/2012,Dunfermline,Raith Rovers,3,1,H
SC1,01/09/2012,Morton,Dumbarton,3,0,H
SC1,01/09/2012,Partick,Hamilton Academical,4,0,H
SC1,02/01/2013,Morton,Dumbarton,0,3,A
SC1,02/01/2013,Dunfermline,Raith Rovers,1,0,H
SC1,02/01/2013,Airdrie United,Cowdenbeath,1,1,D
SC1,02/02/2013,Dumbarton,Livingston,3,4,A
SC1,02/03/2013,Dunfermline,Partick,0,4,A
SC1,02/03/2013,Livingston,Airdrie United,4,1,H
SC1,02/03/2013,Dumbarton,Cowdenbeath,2,2,D
SC1,02/04/2013,Raith Rovers,Partick,0,0,D
SC1,02/04/2013,Livingston,Falkirk,1,2,A
SC1,02/04/2013,Hamilton Academical,Dumbarton,2,1,H
SC1,02/09/2012,Falkirk,Livingston,1,2,A
SC1,04/05/2013,Dunfermline,Airdrie United,1,2,A
SC1,04/05/2013,Falkirk,Morton,4,1,H
SC1,04/05/2013,Dumbarton,Partick,0,0,D
SC1,04/05/2013,Livingston,Raith Rovers,2,3,A
SC1,04/05/2013,Hamilton Academical,Cowdenbeath,1,3,A
SC1,05/01/2013,Cowdenbeath,Morton,1,1,D
SC1,05/01/2013,Raith Rovers,Airdrie United,2,0,H
SC1,05/01/2013,Hamilton Academical,Falkirk,1,1,D
SC1,05/01/2013,Livingston,Partick,2,2,D
SC1,05/01/2013,Dumbarton,Dunfermline,0,1,A
SC1,05/03/2013,Falkirk,Raith Rovers,1,1,D
SC1,05/03/2013,Hamilton Academical,Morton,2,1,H
SC1,06/04/2013,Morton,Airdrie United,5,2,H
SC1,06/04/2013,Falkirk,Cowdenbeath,4,0,H
SC1,06/04/2013,Dunfermline,Hamilton Academical,2,3,A
SC1,06/04/2013,Dumbarton,Livingston,0,3,A
SC1,06/10/2012,Airdrie United,Hamilton Academical,0,4,A
SC1,06/10/2012,Falkirk,Dunfermline,2,2,D
SC1,06/10/2012,Raith Rovers,Dumbarton,2,2,D
SC1,06/10/2012,Livingston,Cowdenbeath,1,1,D
SC1,06/10/2012,Morton,Partick,3,1,H
SC1,08/12/2012,Livingston,Dunfermline,2,1,H
SC1,08/12/2012,Raith Rovers,Morton,3,3,D
SC1,09/02/2013,Airdrie United,Morton,0,4,A
SC1,09/02/2013,Hamilton Academical,Dunfermline,1,2,A
SC1,09/02/2013,Livingston,Dumbarton,2,3,A
SC1,09/02/2013,Cowdenbeath,Falkirk,4,1,H
SC1,09/03/2013,Partick,Dumbarton,3,0,H
SC1,09/03/2013,Raith Rovers,Livingston,0,2,A
SC1,09/03/2013,Cowdenbeath,Hamilton Academical,1,1,D
SC1,09/03/2013,Airdrie United,Dunfermline,3,3,D
SC1,09/03/2013,Morton,Falkirk,2,0,H
SC1,09/04/2013,Hamilton Academical,Airdrie United,5,0,H
SC1,09/04/2013,Dumbarton,Raith Rovers,1,2,A
SC1,09/04/2013,Cowdenbeath,Livingston,2,2,D
SC1,09/11/2012,Airdrie United,Livingston,1,3,A
SC1,10/04/2013,Partick,Morton,1,0,H
SC1,10/11/2012,Cowdenbeath,Dumbarton,0,1,A
SC1,10/11/2012,Partick,Dunfermline,5,1,H
SC1,10/11/2012,Morton,Hamilton Academical,0,1,A
SC1,10/11/2012,Raith Rovers,Falkirk,2,1,H
SC1,11/08/2012,Partick,Falkirk,3,1,H
SC1,11/08/2012,Morton,Livingston,2,2,D
SC1,11/08/2012,Raith Rovers,Hamilton Academical,2,0,H
SC1,11/08/2012,Cowdenbeath,Dunfermline,0,4,A
SC1,11/08/2012,Airdrie United,Dumbarton,4,1,H
