Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC2,02/09/2023,St Andrews United,Haddington Athletic,1,0,H
SC2,02/09/2023,Beith,Bonnyton Thistle,5,1,H
SC2,02/09/2023,Newton Stewart,Luncarty,1,4,A
SC2,02/09/2023,Jeanfield Swifts,Cupar Hearts,3,0,H
SC2,02/09/2023,Glenafton Athletic,Darvel,0,3,A
SC2,02/09/2023,Culter,Blackburn,3,2,H
SC2,02/09/2023,Creetown,Whitehill Welfare,1,3,A
SC2,02/09/2023,Kilwinning Rangers,Glasgow University,4,0,H
SC2,02/09/2023,Irvine Meadow,Dunipace,1,2,A
SC2,02/09/2023,Dunbar United,Vale of Leithen,4,2,H
SC2,02/09/2023,Cumnock Juniors,Girvan,1,0,H
SC2,02/09/2023,Musselburgh Athletic,Coldstream,6,0,H
SC2,02/09/2023,Sauchie Juniors,Burntisland Shipyard,4,0,H
SC2,02/09/2023,Wigtown & Bladnoch,Auchinleck Talbot,0,12,A
SC2,02/09/2023,Fort William,Clydebank,1,10,A
SC2,02/09/2023,Easthouses Lily,Threave Rovers,1,3,A
SC2,02/09/2023,Hawick Royal Albert,Golspie Sutherland,1,2,A
SC2,02/09/2023,Hill Of Beath Hawthorn,Tayport,0,1,A
SC2,02/09/2023,Broxburn Athletic,Lochee United,3,0,H
SC2,02/09/2023,Penicuik Athletic,Rutherglen Glencairn,4,2,H
SC2,02/09/2023,St. Cuthbert Wanderers,Dalkeith Thistle,0,5,A
SC2,02/09/2023,Tynecastle,Lothian Hutchison,0,1,A
SC2,04/11/2023,Luncarty,Bo'ness United,0,1,A
SC2,09/02/2024,Morton,Motherwell,2,1,H
SC2,09/03/2024,Aberdeen,Kilmarnock,3,1,H
SC2,10/02/2024,Kilmarnock,Cove Rangers,2,0,H
SC2,10/02/2024,Aberdeen,Bonnyrigg Rose Athletic,2,0,H
SC2,10/02/2024,Inverness CT,Hibernian,1,3,A
SC2,10/02/2024,Rangers,Ayr Utd,2,0,H
SC2,10/03/2024,Celtic,Livingston,4,2,H
SC2,10/03/2024,Hibernian,Rangers,0,2,A
SC2,11/02/2024,ST Mirren,Celtic,0,2,A
SC2,11/02/2024,Airdrie United,Heart Of Midlothian,1,4,A
SC2,11/03/2024,Morton,Heart Of Midlothian,0,1,A
SC2,12/08/2023,Abbey Vale,Cupar Hearts,0,5,A
SC2,12/08/2023,Luncarty,Loch Ness,3,1,H
SC2,12/08/2023,Carnoustie Panmure,Beith,1,2,A
SC2,19/01/2024,Clyde,Aberdeen,0,2,A
SC2,20/01/2024,Ayr Utd,Kelty Hearts,3,0,H
SC2,20/01/2024,Spartans,Heart Of Midlothian,1,2,A
SC2,20/01/2024,Kilmarnock,Dundee,2,0,H
SC2,20/01/2024,ST Mirren,Queen of the South,1,0,H
SC2,20/01/2024,Livingston,Raith Rovers,2,1,H
