Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
D1,01/02/2015,Werder Bremen,Hertha Berlin,2,0,H
D1,01/02/2015,FC Augsburg,1899 Hoffenheim,3,1,H
D1,01/03/2015,Werder Bremen,VfL Wolfsburg,3,5,A
D1,01/03/2015,Borussia Monchengladbach,SC Paderborn 07,2,0,H
D1,01/11/2014,Hannover 96,Eintracht Frankfurt,1,0,H
D1,01/11/2014,FSV Mainz 05,Werder Bremen,1,2,A
D1,01/11/2014,VfB Stuttgart,VfL Wolfsburg,0,4,A
D1,01/11/2014,Bayern Munich,Borussia Dortmund,2,1,H
D1,01/11/2014,Hamburger SV,Bayer Leverkusen,1,0,H
D1,02/05/2015,FC Schalke 04,VfB Stuttgart,3,2,H
D1,02/05/2015,Werder Bremen,Eintracht Frankfurt,1,0,H
D1,02/05/2015,1899 Hoffenheim,Borussia Dortmund,1,1,D
D1,02/05/2015,FC Augsburg,1. FC Köln,0,0,D
D1,02/05/2015,VfL Wolfsburg,Hannover 96,2,2,D
D1,02/05/2015,Bayer Leverkusen,Bayern Munich,2,0,H
D1,02/05/2015,SC Freiburg,SC Paderborn 07,1,2,A
D1,02/11/2014,1. FC Köln,SC Freiburg,0,1,A
D1,02/11/2014,SC Paderborn 07,Hertha Berlin,3,1,H
D1,02/11/2014,Borussia Monchengladbach,1899 Hoffenheim,3,1,H
D1,03/02/2015,Eintracht Frankfurt,VfL Wolfsburg,1,1,D
D1,03/02/2015,Hannover 96,FSV Mainz 05,1,1,D
D1,03/02/2015,Borussia Monchengladbach,SC Freiburg,1,0,H
D1,03/02/2015,Bayern Munich,FC Schalke 04,1,1,D
D1,03/05/2015,FSV Mainz 05,Hamburger SV,1,2,A
D1,03/05/2015,Hertha Berlin,Borussia Monchengladbach,1,2,A
D1,03/10/2014,Hertha Berlin,VfB Stuttgart,3,2,H
D1,04/02/2015,1899 Hoffenheim,Werder Bremen,1,2,A
D1,04/02/2015,Borussia Dortmund,FC Augsburg,0,1,A
D1,04/02/2015,SC Paderborn 07,Hamburger SV,0,3,A
D1,04/02/2015,1. FC Köln,VfB Stuttgart,0,0,D
D1,04/02/2015,Hertha Berlin,Bayer Leverkusen,0,1,A
D1,04/04/2015,Bayer Leverkusen,Hamburger SV,4,0,H
D1,04/04/2015,Eintracht Frankfurt,Hannover 96,2,2,D
D1,04/04/2015,Borussia Dortmund,Bayern Munich,0,1,A
D1,04/04/2015,Werder Bremen,FSV Mainz 05,0,0,D
D1,04/04/2015,1899 Hoffenheim,Borussia Monchengladbach,1,4,A
D1,04/04/2015,SC Freiburg,1. FC Köln,1,0,H
D1,04/04/2015,VfL Wolfsburg,VfB Stuttgart,3,1,H
D1,04/10/2014,Borussia Dortmund,Hamburger SV,0,1,A
D1,04/10/2014,1899 Hoffenheim,FC Schalke 04,2,1,H
D1,04/10/2014,Bayer Leverkusen,SC Paderborn 07,2,2,D
D1,04/10/2014,Eintracht Frankfurt,1. FC Köln,3,2,H
D1,04/10/2014,Bayern Munich,Hannover 96,4,0,H
D1,04/10/2014,Werder Bremen,SC Freiburg,1,1,D
D1,05/04/2015,FC Augsburg,FC Schalke 04,0,0,D
D1,05/04/2015,Hertha Berlin,SC Paderborn 07,2,0,H
D1,05/10/2014,VfL Wolfsburg,FC Augsburg,1,0,H
D1,05/10/2014,Borussia Monchengladbach,FSV Mainz 05,1,1,D
D1,05/12/2014,Borussia Dortmund,1899 Hoffenheim,1,0,H
D1,06/02/2015,FC Schalke 04,Borussia Monchengladbach,1,0,H
D1,06/03/2015,VfB Stuttgart,Hertha Berlin,0,0,D
D1,06/12/2014,1. FC Köln,FC Augsburg,1,2,A
D1,06/12/2014,SC Paderborn 07,SC Freiburg,1,1,D
D1,06/12/2014,VfB Stuttgart,FC Schalke 04,0,4,A
D1,06/12/2014,Hannover 96,VfL Wolfsburg,1,3,A
D1,06/12/2014,Borussia Monchengladbach,Hertha Berlin,3,2,H
D1,06/12/2014,Bayern Munich,Bayer Leverkusen,1,0,H
D1,07/02/2015,1. FC Köln,SC Paderborn 07,0,0,D
D1,07/02/2015,Hamburger SV,Hannover 96,2,1,H
D1,07/02/2015,VfB Stuttgart,Bayern Munich,0,2,A
D1,07/02/2015,FSV Mainz 05,Hertha Berlin,0,2,A
D1,07/02/2015,VfL Wolfsburg,1899 Hoffenheim,3,0,H
D1,07/02/2015,SC Freiburg,Borussia Dortmund,0,3,A
D1,07/03/2015,FSV Mainz 05,Borussia Monchengladbach,2,2,D
D1,07/03/2015,FC Schalke 04,1899 Hoffenheim,3,1,H
D1,07/03/2015,FC Augsburg,VfL Wolfsburg,1,0,H
D1,07/03/2015,Hamburger SV,Borussia Dortmund,0,0,D
D1,07/03/2015,SC Freiburg,Werder Bremen,0,1,A
D1,07/03/2015,Hannover 96,Bayern Munich,1,3,A
D1,07/11/2014,Hertha Berlin,Hannover 96,0,2,A
D1,07/12/2014,Eintracht Frankfurt,Werder Bremen,5,2,H
D1,07/12/2014,Hamburger SV,FSV Mainz 05,2,1,H
D1,08/02/2015,Werder Bremen,Bayer Leverkusen,2,1,H
D1,08/02/2015,FC Augsburg,Eintracht Frankfurt,2,2,D
D1,08/03/2015,1. FC Köln,Eintracht Frankfurt,4,2,H
D1,08/03/2015,SC Paderborn 07,Bayer Leverkusen,0,3,A
D1,08/05/2015,Hamburger SV,SC Freiburg,1,1,D
D1,08/11/2014,1899 Hoffenheim,1. FC Köln,3,4,A
D1,08/11/2014,Werder Bremen,VfB Stuttgart,2,0,H
D1,08/11/2014,FC Augsburg,SC Paderborn 07,3,0,H
D1,08/11/2014,Eintracht Frankfurt,Bayern Munich,0,4,A
D1,08/11/2014,Bayer Leverkusen,FSV Mainz 05,0,0,D
D1,08/11/2014,SC Freiburg,FC Schalke 04,2,0,H
D1,09/05/2015,VfB Stuttgart,FSV Mainz 05,2,0,H
D1,09/05/2015,Hannover 96,Werder Bremen,1,1,D
D1,09/05/2015,Borussia Dortmund,Hertha Berlin,2,0,H
D1,09/05/2015,Bayern Munich,FC Augsburg,0,1,A
D1,09/05/2015,Borussia Monchengladbach,Bayer Leverkusen,3,0,H
D1,09/05/2015,Eintracht Frankfurt,1899 Hoffenheim,3,1,H
D1,09/11/2014,Borussia Dortmund,Borussia Monchengladbach,1,0,H
D1,09/11/2014,VfL Wolfsburg,Hamburger SV,2,0,H
D1,10/04/2015,Hannover 96,Hertha Berlin,1,1,D
D1,10/05/2015,SC Paderborn 07,VfL Wolfsburg,1,3,A
D1,10/05/2015,1. FC Köln,FC Schalke 04,2,0,H
D1,11/04/2015,Bayern Munich,Eintracht Frankfurt,3,0,H
D1,11/04/2015,Borussia Monchengladbach,Borussia Dortmund,3,1,H
D1,11/04/2015,FSV Mainz 05,Bayer Leverkusen,2,3,A
D1,11/04/2015,FC Schalke 04,SC Freiburg,0,0,D
D1,11/04/2015,SC Paderborn 07,FC Augsburg,2,1,H
D1,11/04/2015,Hamburger SV,VfL Wolfsburg,0,2,A
D1,12/04/2015,1. FC Köln,1899 Hoffenheim,3,2,H
D1,12/04/2015,VfB Stuttgart,Werder Bremen,3,2,H
D1,12/09/2014,Bayer Leverkusen,Werder Bremen,3,3,D
D1,12/12/2014,1899 Hoffenheim,Eintracht Frankfurt,3,2,H
D1,13/02/2015,Borussia Dortmund,FSV Mainz 05,4,2,H
D1,13/03/2015,Bayer Leverkusen,VfB Stuttgart,4,0,H
D1,13/09/2014,Hertha Berlin,FSV Mainz 05,1,3,A
D1,13/09/2014,Borussia Monchengladbach,FC Schalke 04,4,1,H
D1,13/09/2014,Bayern Munich,VfB Stuttgart,2,0,H
D1,13/09/2014,1899 Hoffenheim,VfL Wolfsburg,1,1,D
D1,13/09/2014,Borussia Dortmund,SC Freiburg,3,1,H
D1,13/09/2014,SC Paderborn 07,1. FC Köln,0,0,D
D1,13/12/2014,Werder Bremen,Hannover 96,3,3,D
D1,13/12/2014,FSV Mainz 05,VfB Stuttgart,1,1,D
D1,13/12/2014,FC Schalke 04,1. FC Köln,1,2,A
D1,13/12/2014,FC Augsburg,Bayern Munich,0,4,A
D1,13/12/2014,SC Freiburg,Hamburger SV,0,0,D
D1,13/12/2014,Hertha Berlin,Borussia Dortmund,1,0,H
D1,14/02/2015,Borussia Monchengladbach,1. FC Köln,1,0,H
D1,14/02/2015,Werder Bremen,FC Augsburg,3,2,H
D1,14/02/2015,Bayern Munich,Hamburger SV,8,0,H
D1,14/02/2015,Eintracht Frankfurt,FC Schalke 04,1,0,H
D1,14/02/2015,Bayer Leverkusen,VfL Wolfsburg,4,5,A
D1,14/02/2015,1899 Hoffenheim,VfB Stuttgart,2,1,H
D1,14/03/2015,Hertha Berlin,FC Schalke 04,2,2,D
D1,14/03/2015,Werder Bremen,Bayern Munich,0,4,A
D1,14/03/2015,1899 Hoffenheim,Hamburger SV,3,0,H
D1,14/03/2015,Eintracht Frankfurt,SC Paderborn 07,4,0,H
D1,14/03/2015,Borussia Dortmund,1. FC Köln,0,0,D
D1,14/03/2015,FC Augsburg,FSV Mainz 05,0,2,A
D1,14/09/2014,Eintracht Frankfurt,FC Augsburg,0,1,A
D1,14/09/2014,Hannover 96,Hamburger SV,2,0,H
D1,14/12/2014,Bayer Leverkusen,Borussia Monchengladbach,1,1,D
D1,14/12/2014,VfL Wolfsburg,SC Paderborn 07,1,1,D
D1,15/02/2015,Hannover 96,SC Paderborn 07,1,2,A
D1,15/02/2015,Hertha Berlin,SC Freiburg,0,2,A
D1,15/03/2015,VfL Wolfsburg,SC Freiburg,3,0,H
D1,15/03/2015,Borussia Monchengladbach,Hannover 96,2,0,H
D1,16/05/2015,Werder Bremen,Borussia Monchengladbach,0,2,A
D1,16/05/2015,SC Freiburg,Bayern Munich,2,1,H
D1,16/05/2015,Hertha Berlin,Eintracht Frankfurt,0,0,D
D1,16/05/2015,FC Schalke 04,SC Paderborn 07,1,0,H
D1,16/05/2015,VfB Stuttgart,Hamburger SV,2,1,H
D1,16/05/2015,FC Augsburg,Hannover 96,1,2,A
D1,16/05/2015,Bayer Leverkusen,1899 Hoffenheim,2,0,H
D1,16/05/2015,VfL Wolfsburg,Borussia Dortmund,2,1,H
D1,16/05/2015,FSV Mainz 05,1. FC Köln,2,0,H
D1,16/12/2014,Hamburger SV,VfB Stuttgart,0,1,A
D1,16/12/2014,1. FC Köln,FSV Mainz 05,0,0,D
D1,16/12/2014,Hannover 96,FC Augsburg,2,0,H
D1,16/12/2014,Bayern Munich,SC Freiburg,2,0,H
D1,17/04/2015,Eintracht Frankfurt,Borussia Monchengladbach,0,0,D
D1,17/12/2014,Eintracht Frankfurt,Hertha Berlin,4,4,D
D1,17/12/2014,1899 Hoffenheim,Bayer Leverkusen,0,1,A
D1,17/12/2014,Borussia Dortmund,VfL Wolfsburg,2,2,D
D1,17/12/2014,SC Paderborn 07,FC Schalke 04,1,2,A
D1,17/12/2014,Borussia Monchengladbach,Werder Bremen,4,1,H
D1,18/04/2015,Hertha Berlin,1. FC Köln,0,0,D
D1,18/04/2015,SC Freiburg,FSV Mainz 05,2,3,A
D1,18/04/2015,Borussia Dortmund,SC Paderborn 07,3,0,H
D1,18/04/2015,1899 Hoffenheim,Bayern Munich,0,2,A
D1,18/04/2015,Bayer Leverkusen,Hannover 96,4,0,H
D1,18/04/2015,FC Augsburg,VfB Stuttgart,2,1,H
D1,18/10/2014,FC Schalke 04,Hertha Berlin,2,0,H
D1,18/10/2014,FSV Mainz 05,FC Augsburg,2,1,H
D1,18/10/2014,1. FC Köln,Borussia Dortmund,2,1,H
D1,18/10/2014,VfB Stuttgart,Bayer Leverkusen,3,3,D
D1,18/10/2014,Hannover 96,Borussia Monchengladbach,0,3,A
D1,18/10/2014,SC Freiburg,VfL Wolfsburg,1,2,A
D1,18/10/2014,Bayern Munich,Werder Bremen,6,0,H
D1,19/04/2015,Werder Bremen,Hamburger SV,1,0,H
D1,19/04/2015,VfL Wolfsburg,FC Schalke 04,1,1,D
D1,19/09/2014,SC Freiburg,Hertha Berlin,2,2,D
D1,19/10/2014,Hamburger SV,1899 Hoffenheim,1,1,D
D1,19/10/2014,SC Paderborn 07,Eintracht Frankfurt,3,1,H
D1,19/12/2014,FSV Mainz 05,Bayern Munich,1,2,A
D1,20/02/2015,VfB Stuttgart,Borussia Dortmund,2,3,A
D1,20/03/2015,Hamburger SV,Hertha Berlin,0,1,A
D1,20/09/2014,VfB Stuttgart,1899 Hoffenheim,0,2,A
D1,20/09/2014,FC Schalke 04,Eintracht Frankfurt,2,2,D
D1,20/09/2014,Hamburger SV,Bayern Munich,0,0,D
D1,20/09/2014,SC Paderborn 07,Hannover 96,2,0,H
D1,20/09/2014,FSV Mainz 05,Borussia Dortmund,2,0,H
D1,20/09/2014,FC Augsburg,Werder Bremen,4,2,H
D1,20/12/2014,VfL Wolfsburg,1. FC Köln,2,1,H
D1,20/12/2014,FC Schalke 04,Hamburger SV,0,0,D
D1,20/12/2014,VfB Stuttgart,SC Paderborn 07,0,0,D
D1,20/12/2014,FC Augsburg,Borussia Monchengladbach,2,1,H
D1,20/12/2014,Bayer Leverkusen,Eintracht Frankfurt,1,1,D
D1,20/12/2014,Werder Bremen,Borussia Dortmund,2,1,H
D1,21/02/2015,SC Paderborn 07,Bayern Munich,0,6,A
D1,21/02/2015,SC Freiburg,1899 Hoffenheim,1,1,D
D1,21/02/2015,FSV Mainz 05,Eintracht Frankfurt,3,1,H
D1,21/02/2015,FC Augsburg,Bayer Leverkusen,2,2,D
D1,21/02/2015,FC Schalke 04,Werder Bremen,1,1,D
D1,21/02/2015,1. FC Köln,Hannover 96,1,1,D
D1,21/03/2015,SC Paderborn 07,1899 Hoffenheim,0,0,D
D1,21/03/2015,SC Freiburg,FC Augsburg,2,0,H
D1,21/03/2015,Hannover 96,Borussia Dortmund,2,3,A
D1,21/03/2015,VfB Stuttgart,Eintracht Frankfurt,3,1,H
D1,21/03/2015,FC Schalke 04,Bayer Leverkusen,0,1,A
D1,21/03/2015,1. FC Köln,Werder Bremen,1,1,D
D1,21/09/2014,1. FC Köln,Borussia Monchengladbach,0,0,D
D1,21/09/2014,VfL Wolfsburg,Bayer Leverkusen,4,1,H
D1,21/12/2014,SC Freiburg,Hannover 96,2,2,D
D1,21/12/2014,Hertha Berlin,1899 Hoffenheim,0,5,A
D1,22/02/2015,Hamburger SV,Borussia Monchengladbach,1,1,D
D1,22/02/2015,VfL Wolfsburg,Hertha Berlin,2,1,H
D1,22/03/2015,FSV Mainz 05,VfL Wolfsburg,1,1,D
D1,22/03/2015,Bayern Munich,Borussia Monchengladbach,0,2,A
D1,22/08/2014,Bayern Munich,VfL Wolfsburg,2,1,H
D1,22/11/2014,FC Schalke 04,VfL Wolfsburg,3,2,H
D1,22/11/2014,Bayern Munich,1899 Hoffenheim,4,0,H
D1,22/11/2014,Borussia Monchengladbach,Eintracht Frankfurt,1,3,A
