Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC1,01/02/2014,Hamilton Academical,Dumbarton,3,3,D
SC1,01/02/2014,Dundee,Alloa Athletic,1,1,D
SC1,01/02/2014,Livingston,Queen of the South,1,2,A
SC1,01/02/2014,Falkirk,Morton,1,1,D
SC1,01/02/2014,Cowdenbeath,Raith Rovers,1,0,H
SC1,01/03/2014,Livingston,Cowdenbeath,1,0,H
SC1,01/03/2014,Alloa Athletic,Hamilton Academical,0,3,A
SC1,01/03/2014,Raith Rovers,Falkirk,2,4,A
SC1,01/03/2014,Queen of the South,Dumbarton,3,1,H
SC1,01/03/2014,Dundee,Morton,2,0,H
SC1,01/04/2014,Morton,Dumbarton,3,0,H
SC1,02/01/2014,Raith Rovers,Dundee,0,2,A
SC1,02/01/2014,Alloa Athletic,Cowdenbeath,0,1,A
SC1,03/05/2014,Hamilton Academical,Morton,10,2,H
SC1,03/05/2014,Dundee,Dumbarton,2,1,H
SC1,03/05/2014,Livingston,Raith Rovers,2,0,H
SC1,03/05/2014,Falkirk,Alloa Athletic,3,1,H
SC1,03/05/2014,Cowdenbeath,Queen of the South,1,1,D
SC1,04/01/2014,Hamilton Academical,Queen of the South,3,1,H
SC1,04/01/2014,Dumbarton,Morton,2,0,H
SC1,04/01/2014,Livingston,Falkirk,0,1,A
SC1,04/12/2013,Dumbarton,Alloa Athletic,1,1,D
SC1,05/02/2014,Dumbarton,Livingston,2,2,D
SC1,05/04/2014,Falkirk,Cowdenbeath,5,0,H
SC1,05/04/2014,Morton,Livingston,2,0,H
SC1,05/04/2014,Dumbarton,Alloa Athletic,4,1,H
SC1,05/04/2014,Hamilton Academical,Dundee,1,1,D
SC1,05/10/2013,Cowdenbeath,Dundee,0,2,A
SC1,05/10/2013,Falkirk,Queen of the South,2,1,H
SC1,05/10/2013,Morton,Alloa Athletic,0,2,A
SC1,05/10/2013,Hamilton Academical,Livingston,2,0,H
SC1,05/10/2013,Dumbarton,Raith Rovers,2,4,A
SC1,07/12/2013,Hamilton Academical,Alloa Athletic,0,1,A
SC1,07/12/2013,Dumbarton,Queen of the South,0,1,A
SC1,07/12/2013,Morton,Dundee,1,2,A
SC1,07/12/2013,Falkirk,Raith Rovers,3,1,H
SC1,07/12/2013,Cowdenbeath,Livingston,2,3,A
SC1,08/02/2014,Queen of the South,Falkirk,2,0,H
SC1,08/02/2014,Dundee,Hamilton Academical,1,0,H
SC1,08/03/2014,Queen of the South,Hamilton Academical,1,1,D
