Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC3,01/08/2023,Elgin City,St. Johnstone U21,2,0,H
SC3,01/08/2023,Spartans,Rangers U21,0,3,A
SC3,01/08/2023,Kilmarnock II,Bonnyrigg Rose Athletic,3,1,H
SC3,02/02/2024,Raith Rovers,Airdrie United,0,1,A
SC3,02/08/2023,Stirling University,Livingston U21,4,0,H
SC3,02/08/2023,Celtic II,East Kilbride,1,3,A
SC3,02/08/2023,Dundee II,Buckie Thistle,4,0,H
SC3,03/02/2024,Falkirk,The New Saints,0,1,A
SC3,05/09/2023,Ayr Utd,Falkirk,0,1,A
SC3,07/11/2023,Rangers U21,Airdrie United,2,4,A
SC3,08/09/2023,Hibernian U21,The New Saints,0,3,A
SC3,09/09/2023,Dundee Utd,Dunfermline,3,0,H
SC3,09/09/2023,Arbroath,Inverness CT,4,2,H
SC3,09/09/2023,Stirling University,Airdrie United,2,3,A
SC3,09/09/2023,Cove Rangers,Montrose,0,2,A
SC3,09/09/2023,Edinburgh City,East Kilbride,1,4,A
SC3,09/09/2023,Bala Town,Queen's Park,0,3,A
SC3,09/09/2023,Annan Athletic,Peterhead,0,2,A
SC3,09/09/2023,Dumbarton,Kelty Hearts,1,3,A
SC3,09/09/2023,Morton,Elgin City,2,1,H
SC3,09/09/2023,Coleraine FC,Hamilton Academical,1,3,A
SC3,09/09/2023,Raith Rovers,Cliftonville FC,3,0,H
SC3,09/09/2023,East Fife,Albion Rovers,2,1,H
SC3,09/09/2023,Partick,Queen of the South,2,3,A
SC3,14/10/2023,Peterhead,Dundee Utd,0,2,A
SC3,14/10/2023,East Kilbride,Hamilton Academical,2,5,A
SC3,14/10/2023,Falkirk,Queen's Park,1,0,H
SC3,14/10/2023,Raith Rovers,Montrose,3,1,H
SC3,14/10/2023,Morton,Kelty Hearts,4,1,H
SC3,14/10/2023,Queen of the South,Arbroath,1,2,A
SC3,15/08/2023,Stirling Albion,East Kilbride,0,3,A
SC3,15/08/2023,Albion Rovers,Tranent Juniors,2,0,H
SC3,15/08/2023,Annan Athletic,Stranraer,3,1,H
SC3,15/08/2023,Stenhousemuir,Rangers U21,1,2,A
SC3,15/08/2023,Aberdeen U21,Peterhead,3,5,A
SC3,15/08/2023,Brechin,Hibernian U21,0,4,A
SC3,16/08/2023,Clyde,Stirling University,1,3,A
SC3,17/11/2023,Falkirk,Dundee Utd,4,2,H
SC3,17/11/2023,Hamilton Academical,Raith Rovers,1,4,A
SC3,18/11/2023,The New Saints,Arbroath,4,1,H
SC3,24/03/2024,The New Saints,Airdrie United,1,2,A
SC3,26/09/2023,Rangers U21,Alloa Athletic,4,1,H
