Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
B1,01/04/2016,Gent,Zulte Waregem,1,1,D
B1,01/05/2016,Anderlecht,Gent,2,0,H
B1,01/05/2016,Club Brugge KV,Genk,3,1,H
B1,01/08/2015,SK Beveren,Kortrijk,2,1,H
B1,01/08/2015,Royal Excel Mouscron,St. Truiden,0,2,A
B1,01/08/2015,Oostende,KVC Westerlo,2,1,H
B1,01/08/2015,Club Brugge KV,KV Mechelen,3,0,H
B1,01/11/2015,St. Truiden,Standard Liege,1,0,H
B1,01/11/2015,Zulte Waregem,Kortrijk,2,2,D
B1,01/11/2015,Anderlecht,Royal Excel Mouscron,2,0,H
B1,02/04/2016,Oostende,Club Brugge KV,0,1,A
B1,02/04/2016,Kortrijk,Royal Excel Mouscron,0,0,D
B1,02/04/2016,St. Truiden,KV Mechelen,0,1,A
B1,02/04/2016,Lokeren,Charleroi,1,0,H
B1,02/08/2015,Lokeren,Charleroi,2,2,D
B1,02/08/2015,Standard Liege,Zulte Waregem,2,1,H
B1,02/08/2015,OH Leuven,Anderlecht,0,2,A
B1,02/10/2015,Oostende,Lokeren,2,0,H
B1,03/04/2016,SK Beveren,Standard Liege,0,1,A
B1,03/04/2016,Anderlecht,Genk,1,0,H
B1,03/10/2015,KVC Westerlo,Kortrijk,1,1,D
B1,03/10/2015,St. Truiden,SK Beveren,1,3,A
B1,03/10/2015,Charleroi,Zulte Waregem,3,0,H
B1,03/10/2015,OH Leuven,Royal Excel Mouscron,1,1,D
B1,04/03/2016,Gent,OH Leuven,1,1,D
B1,04/10/2015,Genk,Standard Liege,3,1,H
B1,04/10/2015,Anderlecht,KV Mechelen,1,1,D
B1,04/10/2015,Gent,Club Brugge KV,4,1,H
B1,04/12/2015,Gent,Zulte Waregem,2,2,D
B1,05/02/2016,KV Mechelen,Anderlecht,2,2,D
B1,05/03/2016,Standard Liege,Genk,2,1,H
B1,05/03/2016,Club Brugge KV,St. Truiden,3,0,H
B1,05/03/2016,Oostende,Charleroi,2,1,H
B1,05/03/2016,Kortrijk,Zulte Waregem,1,0,H
B1,05/03/2016,Lokeren,KVC Westerlo,2,1,H
B1,05/03/2016,SK Beveren,KV Mechelen,0,0,D
