Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
D2,01/03/2014,SV Sandhausen,TSV 1860 Munich,0,0,D
D2,01/03/2014,Erzgebirge AUE,1. FC Köln,2,2,D
D2,01/09/2013,Dynamo Dresden,FC Ingolstadt 04,1,1,D
D2,01/09/2013,Karlsruher SC,VfR Aalen,1,1,D
D2,01/09/2013,1. FC Köln,Erzgebirge AUE,4,1,H
D2,01/11/2013,VfR Aalen,Fortuna Dusseldorf,1,0,H
D2,01/11/2013,Energie Cottbus,Vfl Bochum,0,1,A
D2,01/11/2013,SC Paderborn 07,FC Ingolstadt 04,1,1,D
D2,01/12/2013,SpVgg Greuther Furth,Energie Cottbus,1,0,H
D2,01/12/2013,SC Paderborn 07,Erzgebirge AUE,1,1,D
D2,01/12/2013,Vfl Bochum,TSV 1860 Munich,1,2,A
D2,02/03/2014,SpVgg Greuther Furth,FSV Frankfurt,3,2,H
D2,02/03/2014,VfR Aalen,Karlsruher SC,1,0,H
D2,02/03/2014,FC Ingolstadt 04,Dynamo Dresden,1,1,D
D2,02/09/2013,FC Kaiserslautern,Energie Cottbus,2,2,D
D2,02/11/2013,Erzgebirge AUE,SpVgg Greuther Furth,2,6,A
D2,02/11/2013,FC Kaiserslautern,FC St. Pauli,4,1,H
D2,02/12/2013,FSV Frankfurt,Arminia Bielefeld,1,2,A
D2,03/03/2014,FC St. Pauli,Union Berlin,2,1,H
D2,03/11/2013,SV Sandhausen,FSV Frankfurt,2,0,H
D2,03/11/2013,Karlsruher SC,Arminia Bielefeld,3,1,H
D2,03/11/2013,TSV 1860 Munich,Dynamo Dresden,1,3,A
D2,04/04/2014,SC Paderborn 07,Fortuna Dusseldorf,1,2,A
D2,04/04/2014,Energie Cottbus,Dynamo Dresden,0,0,D
D2,04/04/2014,VfR Aalen,FSV Frankfurt,2,1,H
D2,04/05/2014,SV Sandhausen,FC Ingolstadt 04,0,2,A
D2,04/05/2014,Energie Cottbus,SpVgg Greuther Furth,0,6,A
D2,04/05/2014,TSV 1860 Munich,Vfl Bochum,2,0,H
D2,04/05/2014,Karlsruher SC,Fortuna Dusseldorf,2,2,D
D2,04/05/2014,FC Kaiserslautern,Dynamo Dresden,4,0,H
D2,04/05/2014,1. FC Köln,FC St. Pauli,4,0,H
D2,04/05/2014,Arminia Bielefeld,FSV Frankfurt,0,0,D
D2,04/05/2014,Erzgebirge AUE,SC Paderborn 07,0,2,A
D2,04/05/2014,VfR Aalen,Union Berlin,3,0,H
D2,04/10/2013,Arminia Bielefeld,FC Kaiserslautern,0,3,A
D2,04/10/2013,FC St. Pauli,SC Paderborn 07,1,2,A
D2,04/10/2013,Union Berlin,SV Sandhausen,3,0,H
D2,04/11/2013,1. FC Köln,Union Berlin,4,0,H
D2,05/04/2014,1. FC Köln,Arminia Bielefeld,2,0,H
D2,05/04/2014,SV Sandhausen,FC St. Pauli,2,3,A
D2,05/10/2013,Dynamo Dresden,VfR Aalen,2,0,H
D2,05/10/2013,Karlsruher SC,1. FC Köln,1,2,A
D2,06/04/2014,FC Kaiserslautern,Vfl Bochum,1,1,D
D2,06/04/2014,TSV 1860 Munich,Karlsruher SC,0,3,A
D2,06/04/2014,Erzgebirge AUE,Union Berlin,3,2,H
D2,06/10/2013,TSV 1860 Munich,Energie Cottbus,0,0,D
D2,06/10/2013,FSV Frankfurt,Erzgebirge AUE,3,1,H
D2,06/10/2013,Vfl Bochum,FC Ingolstadt 04,0,1,A
D2,06/12/2013,Karlsruher SC,Vfl Bochum,0,0,D
D2,06/12/2013,Arminia Bielefeld,Dynamo Dresden,1,1,D
D2,06/12/2013,Erzgebirge AUE,FC St. Pauli,0,2,A
D2,07/02/2014,Energie Cottbus,SV Sandhausen,0,1,A
D2,07/02/2014,Vfl Bochum,FSV Frankfurt,1,2,A
D2,07/02/2014,VfR Aalen,Erzgebirge AUE,2,2,D
D2,07/03/2014,FC Kaiserslautern,SV Sandhausen,2,1,H
D2,07/03/2014,TSV 1860 Munich,VfR Aalen,4,0,H
D2,07/03/2014,1. FC Köln,Energie Cottbus,2,1,H
D2,07/04/2014,FC Ingolstadt 04,SpVgg Greuther Furth,0,0,D
D2,07/10/2013,Fortuna Dusseldorf,SpVgg Greuther Furth,2,1,H
D2,07/12/2013,TSV 1860 Munich,Union Berlin,2,1,H
D2,07/12/2013,1. FC Köln,FSV Frankfurt,2,0,H
D2,08/02/2014,FC Kaiserslautern,SpVgg Greuther Furth,2,1,H
D2,08/02/2014,Union Berlin,Dynamo Dresden,0,0,D
D2,08/03/2014,Arminia Bielefeld,Erzgebirge AUE,1,0,H
D2,08/03/2014,Union Berlin,FC Ingolstadt 04,1,1,D
D2,08/11/2013,FSV Frankfurt,FC Kaiserslautern,0,4,A
D2,08/11/2013,FC Ingolstadt 04,VfR Aalen,2,0,H
D2,08/11/2013,SpVgg Greuther Furth,SC Paderborn 07,3,0,H
D2,08/12/2013,VfR Aalen,SC Paderborn 07,2,4,A
D2,08/12/2013,Energie Cottbus,FC Ingolstadt 04,1,2,A
D2,08/12/2013,SV Sandhausen,SpVgg Greuther Furth,1,3,A
D2,09/02/2014,Karlsruher SC,FC Ingolstadt 04,1,1,D
D2,09/02/2014,Arminia Bielefeld,FC St. Pauli,2,2,D
D2,09/02/2014,1. FC Köln,SC Paderborn 07,0,1,A
D2,09/03/2014,FSV Frankfurt,FC St. Pauli,1,0,H
D2,09/03/2014,Karlsruher SC,SC Paderborn 07,4,0,H
D2,09/03/2014,Dynamo Dresden,Fortuna Dusseldorf,1,1,D
D2,09/08/2013,Fortuna Dusseldorf,TSV 1860 Munich,1,2,A
D2,09/08/2013,Dynamo Dresden,Union Berlin,1,3,A
D2,09/08/2013,FSV Frankfurt,Vfl Bochum,1,0,H
D2,09/11/2013,Arminia Bielefeld,TSV 1860 Munich,0,1,A
D2,09/11/2013,Union Berlin,Karlsruher SC,0,0,D
D2,09/12/2013,FC Kaiserslautern,Fortuna Dusseldorf,0,1,A
D2,10/02/2014,TSV 1860 Munich,Fortuna Dusseldorf,1,1,D
D2,10/03/2014,Vfl Bochum,SpVgg Greuther Furth,0,2,A
D2,10/08/2013,FC Ingolstadt 04,Karlsruher SC,0,2,A
D2,10/08/2013,SC Paderborn 07,1. FC Köln,1,1,D
D2,10/11/2013,Vfl Bochum,1. FC Köln,1,0,H
D2,10/11/2013,Fortuna Dusseldorf,SV Sandhausen,1,0,H
D2,10/11/2013,Dynamo Dresden,Erzgebirge AUE,1,1,D
D2,11/04/2014,Union Berlin,1. FC Köln,1,2,A
D2,11/04/2014,FC Ingolstadt 04,SC Paderborn 07,1,2,A
D2,11/04/2014,FC St. Pauli,FC Kaiserslautern,2,3,A
D2,11/05/2014,FC St. Pauli,Erzgebirge AUE,2,2,D
D2,11/05/2014,Vfl Bochum,Karlsruher SC,1,0,H
D2,11/05/2014,SpVgg Greuther Furth,SV Sandhausen,2,0,H
D2,11/05/2014,Union Berlin,TSV 1860 Munich,1,1,D
D2,11/05/2014,Dynamo Dresden,Arminia Bielefeld,2,3,A
D2,11/05/2014,FC Ingolstadt 04,Energie Cottbus,2,0,H
D2,11/05/2014,SC Paderborn 07,VfR Aalen,2,1,H
D2,11/05/2014,Fortuna Dusseldorf,FC Kaiserslautern,4,2,H
D2,11/05/2014,FSV Frankfurt,1. FC Köln,2,0,H
D2,11/08/2013,Erzgebirge AUE,VfR Aalen,0,1,A
D2,11/08/2013,SV Sandhausen,Energie Cottbus,2,2,D
D2,11/08/2013,FC St. Pauli,Arminia Bielefeld,0,1,A
D2,11/11/2013,FC St. Pauli,Energie Cottbus,3,0,H
D2,12/04/2014,SpVgg Greuther Furth,Erzgebirge AUE,2,1,H
D2,12/04/2014,Arminia Bielefeld,Karlsruher SC,0,0,D
D2,12/08/2013,SpVgg Greuther Furth,FC Kaiserslautern,2,1,H
D2,13/04/2014,Fortuna Dusseldorf,VfR Aalen,3,1,H
D2,13/04/2014,Vfl Bochum,Energie Cottbus,2,1,H
D2,13/04/2014,FSV Frankfurt,SV Sandhausen,0,3,A
D2,13/09/2013,SC Paderborn 07,Karlsruher SC,1,0,H
D2,13/09/2013,VfR Aalen,TSV 1860 Munich,0,0,D
D2,13/09/2013,Erzgebirge AUE,Arminia Bielefeld,0,2,A
D2,13/12/2013,1. FC Köln,Dynamo Dresden,3,1,H
