Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC0,01/02/2017,Partick,ST Johnstone,0,1,A
SC0,01/02/2017,Heart Of Midlothian,Rangers,4,1,H
SC0,01/02/2017,Celtic,Aberdeen,1,0,H
SC0,01/03/2017,Dundee,Partick,0,1,A
SC0,01/03/2017,Heart Of Midlothian,Ross County,0,1,A
SC0,01/03/2017,Rangers,ST Johnstone,3,2,H
SC0,01/03/2017,Inverness CT,Celtic,0,4,A
SC0,01/04/2017,Inverness CT,Kilmarnock,1,1,D
SC0,01/04/2017,Partick,Ross County,2,1,H
SC0,01/04/2017,Rangers,Motherwell,1,1,D
SC0,01/04/2017,Hamilton Academical,ST Johnstone,1,0,H
SC0,01/10/2016,Dundee,Celtic,0,1,A
SC0,01/10/2016,Rangers,Partick,2,0,H
SC0,01/10/2016,Ross County,ST Johnstone,0,2,A
SC0,01/10/2016,Hamilton Academical,Inverness CT,1,1,D
SC0,01/10/2016,Kilmarnock,Aberdeen,0,4,A
SC0,02/04/2017,Heart Of Midlothian,Celtic,0,5,A
SC0,03/12/2016,Motherwell,Celtic,3,4,A
SC0,03/12/2016,Hamilton Academical,Partick,1,1,D
SC0,03/12/2016,Kilmarnock,Dundee,2,0,H
SC0,03/12/2016,Rangers,Aberdeen,2,1,H
SC0,03/12/2016,ST Johnstone,Inverness CT,3,0,H
SC0,03/12/2016,Ross County,Heart Of Midlothian,2,2,D
SC0,04/02/2017,Inverness CT,Dundee,2,2,D
SC0,04/02/2017,Rangers,Ross County,1,1,D
SC0,04/02/2017,Motherwell,Heart Of Midlothian,0,3,A
SC0,04/02/2017,Aberdeen,Partick,2,0,H
SC0,04/02/2017,Hamilton Academical,Kilmarnock,1,1,D
SC0,04/03/2017,Kilmarnock,Motherwell,1,2,A
SC0,04/04/2017,Ross County,Dundee,2,1,H
SC0,04/04/2017,Aberdeen,Inverness CT,1,0,H
SC0,04/11/2016,Partick,Aberdeen,1,2,A
SC0,05/02/2017,ST Johnstone,Celtic,2,5,A
SC0,05/04/2017,ST Johnstone,Heart Of Midlothian,1,0,H
SC0,05/04/2017,Motherwell,Hamilton Academical,0,0,D
SC0,05/04/2017,Celtic,Partick,1,1,D
SC0,05/04/2017,Kilmarnock,Rangers,0,0,D
SC0,05/11/2016,Kilmarnock,Hamilton Academical,0,0,D
SC0,05/11/2016,Dundee,Motherwell,2,0,H
SC0,05/11/2016,Heart Of Midlothian,ST Johnstone,2,2,D
SC0,05/11/2016,Celtic,Inverness CT,3,0,H
SC0,06/05/2017,Inverness CT,Hamilton Academical,2,1,H
SC0,06/05/2017,Celtic,ST Johnstone,4,1,H
SC0,06/05/2017,Kilmarnock,Dundee,0,1,A
SC0,06/05/2017,Motherwell,Ross County,0,1,A
SC0,06/08/2016,Rangers,Hamilton Academical,1,1,D
SC0,06/08/2016,Kilmarnock,Motherwell,1,2,A
SC0,06/08/2016,Partick,Inverness CT,2,0,H
SC0,06/08/2016,Ross County,Dundee,1,3,A
SC0,06/11/2016,Ross County,Rangers,1,1,D
SC0,06/12/2016,Aberdeen,Kilmarnock,5,1,H
SC0,07/05/2017,Heart Of Midlothian,Aberdeen,1,2,A
SC0,07/05/2017,Partick,Rangers,1,2,A
SC0,07/08/2016,ST Johnstone,Aberdeen,0,0,D
SC0,07/08/2016,Heart Of Midlothian,Celtic,1,2,A
SC0,08/04/2017,Inverness CT,ST Johnstone,0,3,A
SC0,08/04/2017,Partick,Motherwell,1,0,H
SC0,08/04/2017,Heart Of Midlothian,Dundee,1,0,H
SC0,08/04/2017,Hamilton Academical,Ross County,1,1,D
SC0,08/04/2017,Celtic,Kilmarnock,3,1,H
SC0,09/04/2017,Aberdeen,Rangers,0,3,A
SC0,09/12/2016,Partick,Celtic,1,4,A
SC0,10/09/2016,Ross County,Motherwell,1,1,D
SC0,10/09/2016,Partick,ST Johnstone,0,2,A
SC0,10/09/2016,Heart Of Midlothian,Hamilton Academical,3,1,H
SC0,10/09/2016,Celtic,Rangers,5,1,H
