Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC2,01/03/2020,ST Johnstone,Celtic,0,1,A
SC2,01/11/2020,Celtic,Aberdeen,2,0,H
SC2,03/12/2019,Brora Rangers,Morton,1,3,A
SC2,07/09/2019,Jeanfield Swifts,Linlithgow Rose,2,5,A
SC2,08/02/2020,Falkirk,Heart Of Midlothian,0,1,A
SC2,08/02/2020,Ayr Utd,ST Johnstone,1,2,A
SC2,08/02/2020,Inverness CT,Livingston,1,0,H
SC2,08/02/2020,Aberdeen,Kilmarnock,0,0,D
SC2,08/02/2020,ST Mirren,Motherwell,1,1,D
SC2,08/02/2020,Hamilton Academical,Rangers,1,4,A
SC2,09/02/2020,Clyde,Celtic,0,3,A
SC2,09/02/2020,BSC Glasgow,Hibernian,1,4,A
SC2,10/08/2019,Linlithgow Rose,Preston,2,1,H
SC2,10/08/2019,Hawick Royal Albert,Threave Rovers,1,6,A
SC2,10/08/2019,Banks O' Dee,Glasgow University,5,0,H
SC2,10/08/2019,Broxburn Athletic,Tynecastle,2,0,H
SC2,10/08/2019,Camelon Juniors,Newton Stewart,4,0,H
SC2,10/08/2019,Coldstream,Jeanfield Swifts,1,9,A
SC2,10/08/2019,Dundonald Bluebell,Auchinleck Talbot,2,2,D
SC2,10/08/2019,Easthouses Lily,Penicuik Athletic,1,6,A
SC2,10/08/2019,St. Cuthbert Wanderers,Girvan,1,7,A
SC2,10/08/2019,Lochee United,Burntisland Shipyard,7,0,H
SC2,10/08/2019,Hill Of Beath Hawthorn,Blackburn,2,0,H
SC2,17/01/2020,Rangers,Stranraer,2,0,H
SC2,17/08/2019,Lothian Hutchison,Wigtown & Bladnoch,5,0,H
SC2,17/08/2019,Auchinleck Talbot,Dundonald Bluebell,6,1,H
SC2,18/01/2020,Hamilton Academical,Edinburgh City,5,0,H
SC2,18/01/2020,Kilmarnock,Queen's Park,6,0,H
SC2,18/01/2020,ST Mirren,Broxburn Athletic,3,0,H
SC2,18/01/2020,Aberdeen,Dumbarton,1,0,H
SC2,18/01/2020,Livingston,Raith Rovers,3,1,H
SC2,18/01/2020,ST Johnstone,Morton,3,0,H
SC2,18/01/2020,Heart Of Midlothian,Airdrie United,5,0,H
SC2,18/01/2020,Alloa Athletic,Inverness CT,2,3,A
SC2,18/01/2020,Arbroath,Falkirk,0,0,D
SC2,18/01/2020,East Kilbride,BSC Glasgow,1,3,A
SC2,18/01/2020,Bonnyrigg Rose Athletic,Clyde,0,1,A
SC2,18/01/2020,Partick,Celtic,1,2,A
SC2,18/01/2020,Dundee,Motherwell,0,3,A
SC2,18/01/2020,Ayr Utd,Ross County,1,0,H
SC2,18/08/2019,Colville Park,Whitehill Welfare,0,4,A
SC2,18/10/2019,Bonnyrigg Rose Athletic,Buckie Thistle,2,0,H
SC2,18/10/2019,Edinburgh City,Banks O' Dee,3,1,H
SC2,19/01/2020,Dundee Utd,Hibernian,2,2,D
SC2,19/10/2019,Auchinleck Talbot,Cove Rangers,1,0,H
SC2,19/10/2019,Stirling Albion,Strathspey Thistle,2,0,H
SC2,19/10/2019,Lochee United,BSC Glasgow,1,1,D
SC2,19/10/2019,Albion Rovers,Fort William,1,1,D
SC2,19/10/2019,Annan Athletic,Brechin,2,2,D
SC2,19/10/2019,East Kilbride,Gretna 2008,3,1,H
SC2,19/10/2019,Elgin City,Berwick Rangers,3,1,H
SC2,19/10/2019,Formartine United,Gala Fairydean Rovers,2,2,D
SC2,19/10/2019,Spartans,Queen's Park,0,2,A
SC2,19/10/2019,Clachnacuddin,Brora Rangers,0,7,A
SC2,19/10/2019,Rothes,Inverurie Loco Works,1,3,A
SC2,19/10/2019,Cowdenbeath,Broxburn Athletic,1,1,D
SC2,20/09/2019,Kelty Hearts,Auchinleck Talbot,0,3,A
SC2,20/10/2019,Stirling University,Linlithgow Rose,0,2,A
SC2,21/09/2019,Keith,Stirling University,2,3,A
SC2,21/09/2019,Forres Mechanics,Banks O' Dee,1,4,A
SC2,21/09/2019,Fort William,Vale of Leithen,5,0,H
SC2,21/09/2019,Gretna 2008,Hill Of Beath Hawthorn,1,0,H
SC2,21/09/2019,Inverurie Loco Works,Wick Academy,3,2,H
SC2,21/09/2019,Cumbernauld Colts,Penicuik Athletic,1,5,A
SC2,21/09/2019,Nairn County,Clachnacuddin,0,0,D
SC2,21/09/2019,Strathspey Thistle,Lossiemouth,2,1,H
SC2,21/09/2019,Turriff United,Formartine United,1,5,A
SC2,21/09/2019,Caledonian Braves,Rothes,3,4,A
SC2,21/09/2019,Buckie Thistle,Civil Service Strollers,4,1,H
SC2,21/09/2019,Spartans,Deveronvale,1,1,D
SC2,21/09/2019,Edinburgh University,Lochee United,1,3,A
SC2,21/09/2019,Dalbeattie Star,Gala Fairydean Rovers,1,3,A
SC2,21/09/2019,Broxburn Athletic,East Stirlingshire,3,2,H
SC2,21/09/2019,Linlithgow Rose,Huntly,1,0,H
SC2,21/09/2019,Fraserburgh,Bonnyrigg Rose Athletic,0,1,A
SC2,22/11/2019,Linlithgow Rose,Falkirk,1,4,A
SC2,23/11/2019,Edinburgh City,Annan Athletic,4,3,H
SC2,23/11/2019,Auchinleck Talbot,Arbroath,1,1,D
SC2,23/11/2019,Partick,Penicuik Athletic,1,0,H
SC2,23/11/2019,Dumbarton,Forfar Athletic,3,1,H
SC2,23/11/2019,East Fife,BSC Glasgow,3,4,A
SC2,23/11/2019,Morton,Brora Rangers,1,1,D
SC2,23/11/2019,Raith Rovers,Peterhead,1,0,H
SC2,23/11/2019,Stirling Albion,Clyde,0,2,A
SC2,23/11/2019,Inverurie Loco Works,Broxburn Athletic,0,1,A
SC2,23/11/2019,Bonnyrigg Rose Athletic,Montrose,2,1,H
SC2,23/11/2019,Stranraer,Dunfermline,1,0,H
SC2,23/11/2019,Albion Rovers,Airdrie United,1,4,A
SC2,23/11/2019,Elgin City,Alloa Athletic,1,3,A
SC2,23/11/2019,Queen of the South,Queen's Park,1,2,A
SC2,23/11/2019,Formartine United,East Kilbride,0,4,A
SC2,26/10/2019,Broxburn Athletic,Cowdenbeath,3,0,H
SC2,26/10/2019,Penicuik Athletic,Stenhousemuir,3,0,H
SC2,26/10/2019,Gala Fairydean Rovers,Formartine United,1,2,A
SC2,26/10/2019,Fort William,Albion Rovers,0,5,A
SC2,26/10/2019,Brechin,Annan Athletic,0,2,A
SC2,27/10/2019,BSC Glasgow,Lochee United,2,1,H
SC2,27/11/2019,Arbroath,Auchinleck Talbot,3,0,H
SC2,28/01/2020,Hibernian,Dundee Utd,4,2,H
SC2,28/01/2020,Falkirk,Arbroath,2,0,H
SC2,28/02/2020,Hibernian,Inverness CT,5,2,H
SC2,28/09/2019,Clachnacuddin,Nairn County,2,1,H
SC2,29/02/2020,Heart Of Midlothian,Rangers,1,0,H
SC2,29/02/2020,ST Mirren,Aberdeen,0,2,A
SC2,30/09/2019,Deveronvale,Spartans,1,2,A
SC2,31/08/2019,Girvan,Broxburn Athletic,0,1,A
SC2,31/08/2019,Camelon Juniors,Auchinleck Talbot,0,2,A
SC2,31/08/2019,Banks O' Dee,Golspie Sutherland,2,0,H
SC2,31/08/2019,Whitehill Welfare,Penicuik Athletic,0,1,A
SC2,31/08/2019,Threave Rovers,Hill Of Beath Hawthorn,0,2,A
SC2,31/08/2019,Lochee United,Lothian Hutchison,5,2,H
