Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
E2,02/04/2026,Wigan,Leyton Orient,,,,2.24,3.25,3.15
E3,02/04/2026,Cambridge United,Swindon Town,,,,1.69,3.55,5.1
E1,03/04/2026,Middlesbrough,Millwall,,,,1.69,3.8,4.65
E1,03/04/2026,Leicester,Preston,,,,1.9,3.5,3.85
E1,03/04/2026,Birmingham,Blackburn,,,,1.83,3.35,4.45
E1,03/04/2026,West Brom,Wrexham,,,,2.12,3.3,3.35
E1,03/04/2026,Sheffield Utd,Swansea,,,,1.84,3.6,4.0
E1,03/04/2026,Norwich,Portsmouth,,,,1.93,3.5,3.8
E1,03/04/2026,QPR,Watford,,,,2.62,3.3,2.6
E1,03/04/2026,Stoke City,Sheffield Wednesday,,,,1.31,4.75,10.5
E1,03/04/2026,Charlton,Bristol City,,,,2.54,3.1,2.82
E1,03/04/2026,Oxford United,Hull City,,,,2.46,3.35,2.74
E1,03/04/2026,Coventry,Derby,,,,1.56,4.0,5.5
E2,03/04/2026,Doncaster,Mansfield Town,,,,2.22,3.55,2.96
E2,03/04/2026,Huddersfield,Reading,,,,1.74,3.6,4.65
E2,03/04/2026,Rotherham,Stevenage,,,,3.35,3.05,2.25
E2,03/04/2026,Burton Albion,Barnsley,,,,2.1,3.55,3.2
E2,03/04/2026,Bradford,Northampton,,,,1.39,4.3,8.6
E2,03/04/2026,Blackpool,Exeter City,,,,2.18,3.4,3.15
E2,03/04/2026,Plymouth,Bolton,,,,2.28,3.7,2.78
E2,03/04/2026,Luton,Peterborough,,,,1.67,4.1,4.4
E2,03/04/2026,Lincoln,AFC Wimbledon,,,,1.48,4.1,6.6
E2,03/04/2026,Stockport County,Wycombe,,,,2.18,3.5,3.05
E3,03/04/2026,Bristol Rovers,Fleetwood Town,,,,2.2,3.25,3.25
E3,03/04/2026,Walsall,Gillingham,,,,1.69,3.6,5.0
E3,03/04/2026,Chesterfield,Cheltenham,,,,1.56,4.0,5.5
E3,03/04/2026,Milton Keynes Dons,Barrow,,,,1.41,4.35,7.7
E3,03/04/2026,Shrewsbury,Tranmere,,,,2.25,3.3,3.1
E3,03/04/2026,Accrington ST,Crewe,,,,3.5,3.3,2.08
E3,03/04/2026,Colchester,Oldham,,,,2.92,3.15,2.45
E3,03/04/2026,Grimsby,Harrogate Town,,,,1.53,4.0,6.0
E3,03/04/2026,Newport County,Crawley Town,,,,2.46,3.35,2.72
E3,03/04/2026,Barnet,Bromley,,,,2.08,3.4,3.4
E3,03/04/2026,Salford City,Notts County,,,,2.2,3.35,3.15
EC,03/04/2026,Rochdale,Morecambe,,,,1.28,5.0,9.0
EC,03/04/2026,Scunthorpe,Hartlepool,,,,1.85,3.8,3.35
EC,03/04/2026,Southend,Braintree,,,,1.25,4.8,10.5
EC,03/04/2026,Carlisle,Gateshead,,,,1.5,4.2,5.1
EC,03/04/2026,Yeovil Town,Truro City,,,,2.25,3.2,3.0
EC,03/04/2026,Forest Green,Brackley Town,,,,1.33,4.5,8.2
EC,03/04/2026,Aldershot Town,Sutton Utd,,,,2.1,3.5,3.0
EC,03/04/2026,Boreham Wood,Wealdstone,,,,1.55,4.33,4.6
EC,03/04/2026,Woking,Eastleigh,,,,1.7,3.6,4.2
EC,03/04/2026,Altrincham,FC Halifax Town,,,,2.6,3.5,2.33
EC,03/04/2026,Tamworth,Solihull Moors,,,,2.2,3.35,2.95
EC,03/04/2026,Boston United,York,,,,5.5,4.2,1.48
E1,06/04/2026,Portsmouth,Oxford United,,,,,,
E1,06/04/2026,Millwall,Norwich,,,,,,
E1,06/04/2026,Watford,Charlton,,,,,,
E1,06/04/2026,Bristol City,Sheffield Utd,,,,,,
E1,06/04/2026,Ipswich,Birmingham,,,,,,
E1,06/04/2026,Preston,QPR,,,,,,
E1,06/04/2026,Blackburn,West Brom,,,,,,
E1,06/04/2026,Derby,Stoke City,,,,,,
E1,06/04/2026,Sheffield Wednesday,Leicester,,,,,,
E1,06/04/2026,Swansea,Middlesbrough,,,,,,
E1,06/04/2026,Hull City,Coventry,,,,,,
E2,06/04/2026,Reading,Lincoln,,,,,,
E2,06/04/2026,Bolton,Stockport County,,,,,,
E2,06/04/2026,Barnsley,Plymouth,,,,,,
E2,06/04/2026,AFC Wimbledon,Luton,,,,,,
E2,06/04/2026,Northampton,Wigan,,,,,,
E2,06/04/2026,Peterborough,Cardiff,,,,,,
E2,06/04/2026,Wycombe,Bradford,,,,,,
E2,06/04/2026,Exeter City,Doncaster,,,,,,
E2,06/04/2026,Stevenage,Blackpool,,,,,,
E2,06/04/2026,Leyton Orient,Huddersfield,,,,,,
E2,06/04/2026,Mansfield Town,Burton Albion,,,,,,
E3,06/04/2026,Fleetwood Town,Barnet,,,,,,
E3,06/04/2026,Gillingham,Accrington ST,,,,,,
E3,06/04/2026,Oldham,Milton Keynes Dons,,,,,,
E3,06/04/2026,Swindon Town,Walsall,,,,,,
E3,06/04/2026,Crawley Town,Grimsby,,,,,,
E3,06/04/2026,Crewe,Salford City,,,,,,
E3,06/04/2026,Cheltenham,Cambridge United,,,,,,
E3,06/04/2026,Notts County,Newport County,,,,,,
E3,06/04/2026,Tranmere,Colchester,,,,,,
E3,06/04/2026,Barrow,Chesterfield,,,,,,
E3,06/04/2026,Harrogate Town,Bristol Rovers,,,,,,
EC,06/04/2026,Hartlepool,Rochdale,,,,,,
EC,06/04/2026,Morecambe,Carlisle,,,,,,
EC,06/04/2026,Eastleigh,Yeovil Town,,,,,,
EC,06/04/2026,Gateshead,Scunthorpe,,,,,,
EC,06/04/2026,York,Altrincham,,,,,,
EC,06/04/2026,Braintree,Woking,,,,,,
EC,06/04/2026,Solihull Moors,Boreham Wood,,,,,,
EC,06/04/2026,Sutton Utd,Southend,,,,,,
EC,06/04/2026,FC Halifax Town,Tamworth,,,,,,
EC,06/04/2026,Truro City,Forest Green,,,,,,
EC,06/04/2026,Brackley Town,Boston United,,,,,,
EC,06/04/2026,Wealdstone,Aldershot Town,,,,,,
E1,07/04/2026,Wrexham,Southampton,,,,,,
E2,07/04/2026,Port Vale,Rotherham,,,,,,
E3,07/04/2026,Bromley,Shrewsbury,,,,,,
