date,tier,home,away,prediction,actual,score,correct,confidence,chaos_tier,upset_score,market_pred,market_correct,disagree
2026-04-12,SP1,Athletic Club,Villarreal,H,A,1-2,0,0.2983,HIGH,0.1169,,,0
2026-04-11,E2,Blackpool,Peterborough,H,H,3-1,1,0.2977,HIGH,0.1285,,,0
2026-04-10,D1,FC Augsburg,1899 Hoffenheim,H,D,2-2,0,0.2708,HIGH,0.1219,,,0
2026-04-11,D1,VfL Wolfsburg,Eintracht Frankfurt,H,A,1-2,0,0.2708,HIGH,0.1219,,,0
2026-04-11,D1,Borussia Dortmund,Bayer Leverkusen,H,A,0-1,0,0.2708,HIGH,0.1219,,,0
2026-04-11,D1,FC St. Pauli,Bayern München,H,A,0-5,0,0.2708,HIGH,0.1787,,,0
2026-04-12,D1,FSV Mainz 05,SC Freiburg,H,A,0-1,0,0.2708,HIGH,0.1219,,,0
2026-04-12,D1,VfB Stuttgart,Hamburger SV,H,H,4-0,1,0.2708,HIGH,0.1219,,,0
2026-04-11,E1,Stoke City,Blackburn,H,D,1-1,0,0.2575,HIGH,0.1022,,,0
2026-04-12,N1,NEC Nijmegen,Feyenoord,H,D,1-1,0,0.2477,HIGH,0.1071,,,0
2026-04-10,E1,West Brom,Millwall,H,D,0-0,0,0.2413,HIGH,0.1298,,,0
2026-04-11,D2,Preußen Münster,SpVgg Greuther Fürth,A,D,0-0,0,0.2384,MED,0.0741,,,0
2026-04-11,E0,Liverpool,Fulham,H,H,2-0,1,0.2352,HIGH,0.0913,,,0
2026-04-11,SC0,Celtic,ST Mirren,H,H,1-0,1,0.2249,HIGH,0.0999,,,0
2026-04-11,I1,Torino,Hellas Verona,H,H,2-1,1,0.2076,HIGH,0.0873,,,0
2026-04-11,E2,Cardiff,Bolton,A,H,2-0,0,0.1922,HIGH,0.0725,,,0
2026-04-11,E3,Milton Keynes Dons,Bromley,H,H,2-1,1,0.1885,HIGH,0.209,,,0
2026-04-11,E3,Accrington ST,Fleetwood Town,H,A,1-2,0,0.1752,HIGH,0.0758,,,0
2026-04-12,SP1,Mallorca,Rayo Vallecano,H,H,3-0,1,0.1711,HIGH,0.0631,,,0
2026-04-12,SP2,Huesca,Deportivo La Coruna,A,D,1-1,0,0.1707,MED,0.0536,,,0
2026-04-11,SC1,Partick,Dunfermline,H,H,2-0,1,0.1701,HIGH,0.0667,,,0
2026-04-11,EC,Tamworth,York,A,A,0-1,1,0.1655,MED,0.0553,,,0
2026-04-11,SP1,Sevilla,Atletico Madrid,H,H,2-1,1,0.1576,HIGH,0.0609,,,0
2026-04-12,SP2,Cadiz,FC Andorra,A,A,0-1,1,0.1418,MED,0.0462,,,0
2026-04-11,E3,Cambridge United,Notts County,H,H,4-0,1,0.1399,HIGH,0.0598,,,0
2026-04-12,SP2,Mirandes,Castellón,H,D,2-2,0,0.1295,HIGH,0.0506,,,0
2026-04-11,B1,Cercle Brugge,RAAL La Louvière,H,H,3-0,1,0.1264,HIGH,0.0519,,,0
2026-04-11,I1,Atalanta,Juventus,H,A,0-1,0,0.1241,HIGH,0.0531,,,0
2026-04-10,E0,West Ham,Wolves,A,H,4-0,0,0.097,HIGH,0.037,,,0
2026-04-11,SC0,Kilmarnock,Dundee,A,D,2-2,0,0.0969,HIGH,0.0402,,,0
2026-04-11,E0,Brentford,Everton,H,D,2-2,0,0.0899,HIGH,0.1026,,,0
2026-04-10,E3,Colchester,Swindon Town,A,H,3-0,0,0.0844,HIGH,0.0988,,,0
2026-04-11,EC,Boston United,Truro City,H,H,1-0,1,0.0794,HIGH,0.0307,,,0
2026-04-12,N1,AZ Alkmaar,Heerenveen,A,H,3-0,0,0.0743,HIGH,0.0277,,,0
2026-04-11,I2,Avellino,Catanzaro,H,D,1-1,0,0.0654,HIGH,0.0267,,,0
2026-04-11,I2,Sudtirol,Modena,A,D,1-1,0,0.0651,HIGH,0.0244,,,0
2026-04-11,SP1,Elche,Valencia,A,H,1-0,0,0.0646,HIGH,0.022,,,0
2026-04-11,SC0,Heart Of Midlothian,Motherwell,A,H,3-1,0,0.056,HIGH,0.0237,,,0
2026-04-11,I1,AC Milan,Udinese,H,A,0-3,0,0.0556,HIGH,0.0237,,,0
2026-04-12,SP2,Racing Santander,Almeria,H,H,5-1,1,0.0445,HIGH,0.0174,,,0
2026-04-12,E1,Birmingham,Wrexham,H,H,2-0,1,0.0305,HIGH,0.0109,,,0
2026-04-12,D1,1. FC Köln,Werder Bremen,A,H,3-1,0,0.025,HIGH,0.0101,,,0
2026-04-11,SP2,Leganes,Albacete,A,H,2-1,0,0.0147,HIGH,0.0054,,,0
2026-04-11,E2,Huddersfield,Wycombe,H,D,3-3,0,0.0087,HIGH,0.0034,,,0
